"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","isfemale","isfemalerankM","isfemalerankH","id","dam","cohort","NatalGroup","DamCohort"
"57",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"97",2685,28,6,3576
"58",5,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"98",2615,29,12,3134
"59",0,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"100",2677,29,12,3532
"60",0,0,0.5,1,0.0133698090865878,0.00725301581771964,0,0,0,"101",2797,30,12,4111
"61",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"103",2696,31,12,3632
"62",0,0,1,1,0.00260335935800871,-0.0123412442662524,0,0,0,"109",2383,24,12,2871
"63",0,0,0,1,0.00439776764610522,-0.0100870752160387,0,0,0,"110",162,25,31,418
"64",0,0,0,1,0.00798658422229824,-0.00436488795907331,0,0,0,"113",189,27,12,523
"65",0,0,0.5,1,0.00978099251039475,-0.000896869752321644,0,0,0,"114",2615,28,12,3133
"66",0,0,0,1,0.00798658422229824,-0.00436488795907331,0,0,0,"115",210,27,30,658
"67",0,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"116",2699,29,12,3648
"68",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"118",2709,30,12,3693
"69",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"120",2627,30,12,3216
"70",11,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"121",34,31,12,83
"71",0,0,0.25,1,0.0151642173746843,0.0119348831810093,0,0,0,"122",2637,31,12,3270
"72",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"123",129,32,5,335
"73",54,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"129",2663,26,30,3442
"74",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"132",2607,28,12,3094
"75",2,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"134",2727,29,35,3775
"76",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"135",54,28,30,122
"77",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"139",2641,31,19,3291
"78",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"140",2780,32,12,4048
"79",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"141",119,32,22,300
"80",4,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"143",200,23,30,586
"81",0,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"147",2709,26,12,3690
"82",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"152",212,28,5,674
"83",0,0.0625,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"153",108,29,12,273
"84",12,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"155",2741,30,12,3848
"85",10,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"156",2740,30,30,3842
"86",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"157",2714,31,12,3719
"87",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"159",45,32,12,103
"88",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"160",2494,23,31,2982
"89",0,0,0,1,0.00260335935800871,-0.0123412442662524,0,0,0,"162",2636,24,30,3260
"90",0,0,0,1,0.00439776764610522,-0.0100870752160387,0,0,0,"163",2716,25,31,3728
"91",0,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"169",2750,29,12,3898
"92",20,0,0.25,1,0.0115754007984913,0.00297576483994267,0,0,0,"170",163,29,12,420
"93",14,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"171",157,29,7,399
"94",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"172",2780,30,12,4047
"95",0,0.03125,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"174",2650,32,12,3352
"96",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"175",59,32,7,138
"97",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"176",104,32,12,263
"98",0,0,1,0,0.00260335935800871,-0.0123412442662524,1,NA,NA,"573",215,24,3,702
"99",3,0,0,0,-0.0189295400991494,-0.00783119479883016,1,NA,NA,"2249",326,12,12,813
"100",0,0,0,0,-0.0171351318110529,-0.0104324223747683,1,NA,NA,"2380",437,13,12,925
"101",0,0,0,0,-0.00995749865866686,-0.0167911688233942,1,NA,NA,"3816",548,17,3,1036
"102",7,0,0,0,0.0115754007984913,0.00297576483994267,1,0,1,"257",205,29,12,617
"103",0,0,0.25,0,0.0169586256627808,0.0170213669298115,1,0,0,"1859",146,32,25,374
"104",10,0,0,0,0.0115754007984913,0.00297576483994267,1,NA,NA,"2090",21,29,30,52
"105",0,0,0,0,-0.0368736229801145,0.0404349821637467,1,NA,NA,"861",659,2,19,1147
"106",0,0,0,0,-0.031490398115825,0.0217066570270908,1,NA,NA,"1178",770,5,12,1258
"107",0,0,0,0,-0.0117519069467634,-0.0158084067895067,1,NA,NA,"3050",881,16,23,1369
"108",0,0,0,0,-0.00816309037057035,-0.017369314471769,1,NA,NA,"3876",992,18,3,1480
"109",0,0,0,0,0.00978099251039475,-0.000896869752321644,1,1,0,"579",2731,28,31,3796
"110",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"178",2645,23,12,3312
"111",0,0,1,1,0.00260335935800871,-0.0123412442662524,0,0,0,"179",1103,24,30,1591
"112",21,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"181",2734,26,31,3808
"113",0,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"182",2699,26,12,3646
"114",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"185",2663,28,30,3444
"115",0,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"187",2612,29,10,3117
"116",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"188",2635,30,12,3257
"117",0,0,0,0,0.0133698090865878,0.00725301581771964,1,1,0,"898",2733,30,8,3807
"118",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"190",69,30,12,164
"119",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"191",2639,31,35,3280
"120",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"192",2680,31,5,3551
"121",25,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"193",2713,32,22,3712
"122",4,0,0,0,0.0115754007984913,0.00297576483994267,1,1,0,"1739",2731,29,31,3797
"123",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"196",1214,23,30,1702
"124",0,0,0.5,1,0.00619217593420173,-0.00742828978031233,0,0,0,"199",2646,26,12,3320
"125",0,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"200",2611,26,12,3109
"126",0,0,0,0,0.0115754007984913,0.00297576483994267,1,1,0,"2088",2643,29,12,3304
"127",0,0,0,1,0.00798658422229824,-0.00436488795907331,0,0,0,"202",205,27,12,616
"128",0,0,0.5,1,0.0133698090865878,0.00725301581771964,0,0,0,"206",2712,30,12,3707
"129",0,0,0.25,1,0.0151642173746843,0.0119348831810093,0,0,0,"209",38,31,12,92
"130",6,0,0,0,-0.00995749865866686,-0.0167911688233942,1,1,0,"3800",213,17,12,676
"131",0,0,0.25,1,0.0169586256627808,0.0170213669298115,0,0,0,"212",149,32,12,380
"132",13,0,0,0,-0.00277986550628082,-0.0166760531038176,1,1,0,"4182",2622,21,6,3175
"133",4,0,0,0,-0.00277986550628082,-0.0166760531038176,1,1,0,"4184",2643,21,30,3299
"134",12,0,0,0,-0.00098545721818431,-0.0156357332101419,1,0,0,"4303",2621,22,2,3165
"135",7,0,0,0,0.00798658422229824,-0.00436488795907331,1,0,0,"1206",2775,27,30,4018
"136",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"214",1326,23,12,1813
"137",0,0,0,1,0.00260335935800871,-0.0123412442662524,0,0,0,"216",2736,24,30,3818
"138",0,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"217",2613,26,31,3122
"139",25,0,0,1,0.00619217593420173,-0.00742828978031233,0,0,0,"218",2649,26,12,3339
"140",13,0,0,0,-0.0189295400991494,-0.00783119479883016,1,0,0,"2278",1437,12,17,1924
"141",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"222",2706,28,12,3676
"142",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"223",2689,28,13,3600
"143",7,0,0,0,0.00260335935800871,-0.0123412442662524,1,0,1,"428",189,24,12,520
"144",12,0,0,0,0.0115754007984913,0.00297576483994267,1,0,1,"512",189,29,12,525
"145",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"226",2653,30,12,3373
"146",28,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"227",2628,30,31,3223
"147",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"228",85,31,12,210
"148",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"229",24,32,5,61
"149",9,0,0,0,0.0151642173746843,0.0119348831810093,1,0,1,"675",2676,31,12,3524
"150",1,0,0.5,1,0.00619217593420173,-0.00742828978031233,0,0,0,"236",121,26,12,306
"151",0,0,0,1,0.00798658422229824,-0.00436488795907331,0,0,0,"237",2755,27,12,3920
"152",12,0,0.25,0,0.0151642173746843,0.0119348831810093,1,0,1,"1062",113,31,12,283
"153",0,0,0,0,-0.0332848064039215,0.0275448156871301,1,NA,NA,"1089",1548,4,23,2036
"154",19,0,0,1,0.0115754007984913,0.00297576483994267,0,0,0,"240",2744,29,12,3867
"155",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"241",2758,28,30,3939
"156",0,0.0625,0.25,1,0.0133698090865878,0.00725301581771964,0,0,0,"242",113,30,12,282
"157",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"243",2700,30,12,3653
"158",3,0,0.75,1,0.0133698090865878,0.00725301581771964,0,0,0,"244",7,30,12,19
"159",0,0,0,1,0.0133698090865878,0.00725301581771964,0,0,0,"245",2652,30,12,3365
"160",0,0,0,1,0.0151642173746843,0.0119348831810093,0,0,0,"246",33,31,12,80
"161",0,0,0,1,0.0169586256627808,0.0170213669298115,0,0,0,"248",2652,32,12,3366
"162",5,0,0,0,0.00798658422229824,-0.00436488795907331,1,0,1,"1120",198,27,12,580
"163",6,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"249",2639,23,35,3275
"164",0,0,0,1,0.000808951069912199,-0.0141907969309535,0,0,0,"250",2642,23,30,3292
"165",5,0,0,1,0.00439776764610522,-0.0100870752160387,0,0,0,"252",2684,25,30,3566
"166",0,0,0,0,-0.0368736229801145,0.0404349821637467,1,NA,NA,"773",1659,2,3,2147
"167",0,0,0,0,-0.0296959898277285,0.0162731147525641,1,NA,NA,"1400",1762,6,17,2230
"168",0,0,0,0,-0.0296959898277285,0.0162731147525641,1,NA,NA,"1426",1773,6,23,2241
"169",0,0,0,0,-0.0225183566753424,-0.001414890490416,1,NA,NA,"2078",1784,10,17,2252
"170",0,0,0,1,0.00978099251039475,-0.000896869752321644,0,0,0,"258",2775,28,30,4019
"171",0,0,0,0,-0.0189295400991494,-0.00783119479883016,1,NA,NA,"2252",1795,12,6,2263
"172",0,0,0,0,-0.0171351318110529,-0.0104324223747683,1,NA,NA,"2378",1806,13,12,2274
"173",0,0,0,0,-0.0171351318110529,-0.0104324223747683,1,NA,NA,"2409",1817,13,17,2285
