study ID,method 2,h2,SE of h2
81,animal model,0,
81,animal model,0,
81,animal model,0,
81,animal model,0,
82,parent-offspring regression,0.45,0.56
82,parent-offspring regression,1.19,0.34
83,parent-offspring regression,0.53,0.27
83,parent-offspring regression,0.53,0.265
83,parent-offspring regression,0.174,0.086
83,parent-offspring regression,0.128,0.09
83,parent-offspring regression,0.617,0.106
83,parent-offspring regression,0.562,0.109
84,parent-offspring regression,-0.046,0.298
84,parent-offspring regression,0.212,0.212
84,parent-offspring regression,0.28,0.303
84,parent-offspring regression,0.564,0.258
84,parent-offspring regression,0.579,0.256
84,parent-offspring regression,0.734,0.21
85,animal model,0.25,0.089
85,animal model,0.11,0.042
86,parent-offspring regression,0.32,0.17
86,parent-offspring regression,0.39,0.13
86,parent-offspring regression,0.47,0.21
86,parent-offspring regression,0.48,0.19
86,parent-offspring regression,0.56,0.17
86,parent-offspring regression,0.57,0.15
86,parent-offspring regression,0.58,0.15
86,parent-offspring regression,0.62,0.13
86,parent-offspring regression,0.64,0.2
86,parent-offspring regression,0.67,0.24
86,parent-offspring regression,0.69,0.11
86,parent-offspring regression,0.74,0.15
87,animal model,0.43,0.066
88,parent-offspring regression,-0.12,0.087
88,parent-offspring regression,-0.06,0.11
88,parent-offspring regression,0.05,0.092
88,parent-offspring regression,0.05,0.027
89,animal model,0.159,0.118
89,animal model,0.013,0.118
89,animal model,0.334,0.042
89,animal model,0.026,0.036
89,animal model,0.002,0.036
89,animal model,0.017,0.087
89,animal model,0.396,0.086
89,animal model,0.65,0.327
89,animal model,0.673,0.263
89,animal model,0.039,0.111
89,animal model,0.489,0.301
89,animal model,0.59,0.214
89,animal model,0.253,0.152
89,animal model,0.247,0.077
89,animal model,0,0.047
89,animal model,0,0.033
89,animal model,0,0.033
89,animal model,0,0.031
89,animal model,0,0.067
90,animal model,0.002,0.092
91,animal model,0.06,0.097
91,animal model,0.103,0.09
91,animal model,0.166,0.075
91,animal model,0.043,0.086
91,animal model,0.188,0.043
91,animal model,0,
92,animal model,0.53,0.095
92,animal model,0.5,0.082
92,animal model,0.33,0.1
93,parent-offspring regression,1.105,0.447
93,parent-offspring regression,1.237,0.523
93,parent-offspring regression,0.593,0.465
93,parent-offspring regression,0.334,0.335
93,parent-offspring regression,0.725,0.322
93,parent-offspring regression,0.814,0.403
93,parent-offspring regression,1.034,0.335
93,parent-offspring regression,-0.054,0.352
93,parent-offspring regression,0.206,0.381
93,parent-offspring regression,-0.005,0.52
93,parent-offspring regression,-0.227,0.41
93,parent-offspring regression,0.439,0.436
93,parent-offspring regression,0.205,0.52
93,parent-offspring regression,0.735,0.394
93,parent-offspring regression,1.113,0.375
93,parent-offspring regression,0.345,0.327
93,parent-offspring regression,0.698,0.328
93,parent-offspring regression,0.484,0.384
93,parent-offspring regression,0.672,0.442
93,parent-offspring regression,1.08,0.354
93,parent-offspring regression,0.37,0.281
93,parent-offspring regression,0.219,0.418
93,parent-offspring regression,0.56,0.475
93,parent-offspring regression,0.68,0.377
94,parent-offspring regression,0.65,0.18
94,parent-offspring regression,0.69,0.33
94,parent-offspring regression,0.71,0.15
94,parent-offspring regression,0.72,0.17
94,parent-offspring regression,0.74,0.2
94,full-sib,0.77,
94,parent-offspring regression,0.83,0.45
94,parent-offspring regression,0.25,0.42
94,parent-offspring regression,0.35,0.48
94,parent-offspring regression,0.42,0.3
94,parent-offspring regression,0.48,0.16
94,parent-offspring regression,0.64,0.25
94,parent-offspring regression,0.67,0.18
94,full-sib,0.7,
95,full-sib,0.12,
95,full-sib,0.32,
95,full-sib,0.38,
95,parent-offspring regression,0.49,0.15
95,full-sib,0.63,
95,parent-offspring regression,0.63,0.14
95,parent-offspring regression,0.72,0.22
95,parent-offspring regression,0.76,0.52
95,full-sib,0.56,
95,parent-offspring regression,0.61,0.12
95,parent-offspring regression,0.75,0.12
95,full-sib,0.81,
95,full-sib,0.82,
95,parent-offspring regression,0.85,0.21
95,parent-offspring regression,0.87,0.29
95,full-sib,0.91,
96,parent-offspring regression,0.258,0.102
96,parent-offspring regression,0.378,0.072
96,parent-offspring regression,0.468,0.112
96,full-sib,0.577,0.074
96,parent-offspring regression,0.411,0.045
96,parent-offspring regression,0.43,0.068
96,parent-offspring regression,0.442,0.064
96,full-sib,0.647,0.055
96,parent-offspring regression,0.313,0.102
96,parent-offspring regression,0.396,0.071
96,parent-offspring regression,0.567,0.104
96,full-sib,0.716,0.07
96,parent-offspring regression,0.541,0.051
96,parent-offspring regression,0.542,0.074
96,full-sib,0.581,0.057
96,parent-offspring regression,0.634,0.074
96,parent-offspring regression,0.203,0.104
96,parent-offspring regression,0.399,0.078
96,parent-offspring regression,0.608,0.116
96,parent-offspring regression,0.496,0.073
96,parent-offspring regression,0.521,0.116
96,parent-offspring regression,0.574,0.11
96,parent-offspring regression,0.489,0.114
96,parent-offspring regression,0.526,0.075
96,parent-offspring regression,0.648,0.116
96,parent-offspring regression,0.175,0.098
96,parent-offspring regression,0.296,0.067
96,parent-offspring regression,0.429,0.094
96,parent-offspring regression,0.427,0.074
96,full-sib,0.429,0.058
96,parent-offspring regression,0.454,0.051
96,parent-offspring regression,0.538,0.076
96,parent-offspring regression,0.527,0.066
96,parent-offspring regression,0.534,0.044
96,parent-offspring regression,0.651,0.07
96,full-sib,1.046,0.045
96,parent-offspring regression,0.514,0.038
96,parent-offspring regression,0.566,0.056
96,parent-offspring regression,0.579,0.064
96,full-sib,0.678,0.057
97,parent-offspring regression,0.36,0.14
97,parent-offspring regression,0.38,0.12
97,parent-offspring regression,0.48,0.14
97,parent-offspring regression,0.49,0.13
97,parent-offspring regression,0.49,0.14
97,parent-offspring regression,0.51,0.16
97,parent-offspring regression,0.58,0.14
97,parent-offspring regression,0.64,0.09
97,parent-offspring regression,0.13,0.15
97,parent-offspring regression,0.37,0.14
97,parent-offspring regression,0.39,0.1
97,parent-offspring regression,0.24,0.11
97,parent-offspring regression,0.26,0.12
97,parent-offspring regression,0.3,0.13
97,parent-offspring regression,0.35,0.14
97,parent-offspring regression,0.4,0.13
97,parent-offspring regression,0.6,0.17
97,parent-offspring regression,0.64,0.13
97,parent-offspring regression,0.72,0.11
97,parent-offspring regression,0.23,0.12
97,parent-offspring regression,0.42,0.15
97,parent-offspring regression,0.54,0.12
97,parent-offspring regression,0.27,0.14
97,parent-offspring regression,0.27,0.19
97,parent-offspring regression,0.44,0.14
97,parent-offspring regression,0.56,0.12
97,parent-offspring regression,0.56,0.13
97,parent-offspring regression,0.72,0.16
97,parent-offspring regression,0.74,0.13
97,parent-offspring regression,0.46,0.09
97,parent-offspring regression,0.49,0.09
97,parent-offspring regression,0.55,0.1
97,parent-offspring regression,0.57,0.08
97,parent-offspring regression,0.61,0.09
97,parent-offspring regression,0.62,0.16
97,parent-offspring regression,0.66,0.07
97,parent-offspring regression,0.25,0.14
97,parent-offspring regression,0.44,0.12
97,parent-offspring regression,0.44,0.14
97,parent-offspring regression,0.51,0.14
97,parent-offspring regression,0.53,0.1
97,parent-offspring regression,0.56,0.2
97,parent-offspring regression,0.67,0.14
97,parent-offspring regression,0.32,0.09
97,parent-offspring regression,0.38,0.14
97,parent-offspring regression,0.42,0.1
97,parent-offspring regression,0.49,0.13
97,parent-offspring regression,0.6,0.11
97,parent-offspring regression,0.65,0.11
97,parent-offspring regression,0.67,0.11
97,parent-offspring regression,0.67,0.11
98,parent-offspring regression,0.41,0.08
98,parent-offspring regression,0.28,0.1
98,parent-offspring regression,0.76,0.25
98,parent-offspring regression,0.41,0.08
98,parent-offspring regression,0.45,0.11
98,parent-offspring regression,0.47,0.09
98,parent-offspring regression,0.35,0.08
98,parent-offspring regression,0.57,0.08
98,parent-offspring regression,0.59,0.08
98,parent-offspring regression,0.15,0.06
98,parent-offspring regression,0.01,0.05
98,parent-offspring regression,0.02,0.05
98,parent-offspring regression,0.07,0.06
98,parent-offspring regression,0.21,0.06
98,parent-offspring regression,0.45,0.07
98,parent-offspring regression,0.35,0.08
98,parent-offspring regression,0.44,0.07
98,parent-offspring regression,0.47,0.07
98,parent-offspring regression,0.53,0.07
98,parent-offspring regression,0.29,0.06
98,parent-offspring regression,0.47,0.1
98,parent-offspring regression,0.41,0.07
98,parent-offspring regression,0.47,0.06
98,parent-offspring regression,0,0.06
99,parent-offspring regression,0.59,0.11
99,parent-offspring regression,0.6,0.18
99,parent-offspring regression,0.68,0.16
99,parent-offspring regression,0.62,0.2
99,parent-offspring regression,0.65,0.11
99,parent-offspring regression,0.78,0.16
100,animal model,0.299,0.026
101,animal model,0.18,0.09
101,animal model,0.12,0.05
101,animal model,0.24,0.09
101,animal model,0.23,0.07
101,animal model,0.32,0.07
101,animal model,0.29,0.1
101,animal model,0.17,0.06
101,animal model,0.24,0.05
101,animal model,0.2,0.13
101,animal model,0.39,0.11
101,animal model,0.38,0.1
101,animal model,0.26,0.11
102,parent-offspring regression,0.197,0.071
102,parent-offspring regression,0.267,0.051
103,parent-offspring regression,0.6,0.23
104,parent-offspring regression,0.592,0.1
104,parent-offspring regression,0.808,0.204
105,parent-offspring regression,0.66,0.2
105,parent-offspring regression,0.81,0.23
106,parent-offspring regression,0.268,0.074
106,parent-offspring regression,0.916,0.132
106,parent-offspring regression,0.696,0.138
107,animal model,0.42,0.24
107,animal model,0.39,0.24
107,animal model,0.36,0.23
107,animal model,0.4,0.07
107,animal model,0.33,0.26
107,animal model,0.15,0.08
107,animal model,0.1,0.16
108,animal model,0.46,0.12
108,animal model,0.51,0.42
108,animal model,0.22,0.12
108,animal model,0.1,0.11
108,animal model,0.068,0.042
108,animal model,0,
108,animal model,0.12,0.06
108,animal model,0,
108,animal model,0,
108,animal model,0.086,0.097
109,parent-offspring regression,0.62,
109,parent-offspring regression,1.16,
110,animal model,0.587,0.25
110,animal model,0.084,0.1
110,animal model,0,
111,animal model,0.24,0.14
111,animal model,0.3,0.14
112,animal model,0.328,0.231
112,animal model,0.629,0.18
112,animal model,0.45,0.252
112,animal model,0.504,0.13
112,animal model,0.331,0.251
112,animal model,0.109,0.267
112,animal model,0.441,0.273
112,animal model,0.622,0.198
112,animal model,0.169,0.272
112,animal model,0.19,0.231
112,animal model,0.389,0.141
112,animal model,0.525,0.14
113,parent-offspring regression,0.86,0.29
114,animal model,0.018,0.021
115,animal model,0.056,0.02
115,animal model,0,
115,animal model,0.365,0.112
115,animal model,0.283,0.103
115,animal model,0.21,0.065
115,animal model,0.183,0.073
116,parent-offspring regression,0.02,0.13
117,parent-offspring regression,0.48,0.1
118,parent-offspring regression,-0.21,0.44
118,parent-offspring regression,0.02,0.44
118,parent-offspring regression,0.22,0.72
118,parent-offspring regression,0.92,0.25
118,parent-offspring regression,1.03,0.25
118,parent-offspring regression,1.57,0.66
118,parent-offspring regression,-0.2,0.5
118,parent-offspring regression,0.27,0.49
118,parent-offspring regression,0.7,0.72
119,animal model,0.11,0.05
119,animal model,0.32,0.12
119,animal model,0.24,0.09
119,animal model,0.32,0.12
120,animal model,0.217,0.067
120,animal model,0.241,0.034
171,animal model,0,0.006
171,animal model,0,0.011
121,full-sib,0.08,
121,parent-offspring regression,0.34,0.73
122,grandparent-offspring regression,-0.32,2.88
122,parent-offspring regression,0.55,0.12
122,grandparent-offspring regression,1.64,0.72
123,parent-offspring regression,-0.38,0.28
123,parent-offspring regression,0,0.17
123,parent-offspring regression,0,0.28
123,parent-offspring regression,0.1,0.36
123,parent-offspring regression,0.2,0.32
123,parent-offspring regression,0.2,0.24
123,parent-offspring regression,0.22,0.16
123,parent-offspring regression,0.23,0.4
123,parent-offspring regression,0.24,0.16
123,parent-offspring regression,0.26,0.26
123,parent-offspring regression,0.27,0.14
123,parent-offspring regression,0.36,0.27
123,parent-offspring regression,0.36,0.22
123,parent-offspring regression,0.39,0.32
123,parent-offspring regression,0.42,0.2
123,parent-offspring regression,0.43,0.27
123,parent-offspring regression,0.44,0.32
123,full-sib,0.52,
123,parent-offspring regression,0.58,0.2
123,parent-offspring regression,0.58,0.16
123,parent-offspring regression,0.58,0.24
123,parent-offspring regression,0.61,0.16
123,parent-offspring regression,0.64,0.24
123,parent-offspring regression,0.68,0.34
123,full-sib,0.78,
123,parent-offspring regression,0.8,0.26
123,parent-offspring regression,0.86,0.34
123,parent-offspring regression,1,0.22
123,full-sib,1.02,
123,full-sib,1.06,
123,parent-offspring regression,1.08,0.34
123,full-sib,1.08,
124,parent-offspring regression,0.54,0.42
124,parent-offspring regression,0.16,0.35
125,full-sib,1.02,
125,full-sib,0.93,
125,full-sib,0.57,
125,full-sib,0.94,
125,full-sib,0.87,
125,full-sib,0.86,
126,animal model,0.226,0.075
126,animal model,0.281,0.074
127,parent-offspring regression,0.39,0.09
127,grandparent-offspring regression,0.4,0.52
127,grandparent-offspring regression,0.53,0.45
127,half-sib,0.56,0.54
127,full-sib,0.72,0.19
128,animal model,0.381,0.028
128,animal model,0.044,0.013
128,animal model,0.031,0.012
128,animal model,0.026,0.01
129,parent-offspring regression,0.21,0.51
129,parent-offspring regression,1.21,0.4
130,parent-offspring regression,0.41,0.22
130,animal model,0.14,0.07
130,parent-offspring regression,0.42,0.2
130,animal model,0.61,0.06
130,animal model,0.54,0.06
130,parent-offspring regression,0.56,0.22
131,parent-offspring regression,0.68,0.29
131,parent-offspring regression,0.41,0.18
131,parent-offspring regression,0.02,0.28
131,parent-offspring regression,0.81,0.34
131,parent-offspring regression,0.05,0.46
131,parent-offspring regression,0.76,0.51
131,parent-offspring regression,0.19,0.48
131,parent-offspring regression,0.62,0.28
131,parent-offspring regression,0.74,0.36
131,parent-offspring regression,0.01,0.56
131,parent-offspring regression,0.53,0.33
131,parent-offspring regression,0.05,0.38
131,parent-offspring regression,0.7,0.4
131,parent-offspring regression,0.4,0.32
131,parent-offspring regression,0.32,0.42
131,parent-offspring regression,0.46,0.24
131,parent-offspring regression,0.66,0.32
131,parent-offspring regression,0.19,0.5
131,parent-offspring regression,-0.42,
131,parent-offspring regression,-0.41,
131,parent-offspring regression,-0.1,
132,animal model,0.23,0.24
132,animal model,0.28,0.18
132,animal model,0.27,0.17
132,animal model,0.51,0.2
132,animal model,0.34,0.24
132,animal model,0.001,
132,animal model,0.81,0.03
132,animal model,0.03,0.11
132,animal model,0.24,0.14
132,animal model,0.29,0.13
132,animal model,0.43,0.16
132,animal model,0.31,0.13
132,parent-offspring regression,0.12,0.2
132,parent-offspring regression,0.28,0.17
132,parent-offspring regression,0.49,0.23
132,parent-offspring regression,0.26,0.18
132,parent-offspring regression,0.59,0.19
132,parent-offspring regression,0.39,0.18
132,parent-offspring regression,0.57,0.18
132,parent-offspring regression,0.02,0.19
132,parent-offspring regression,0.07,0.17
132,parent-offspring regression,-0.15,0.15
132,parent-offspring regression,-0.09,0.18
132,parent-offspring regression,0,0.18
133,animal model,0.15,0.04
133,animal model,0.16,0.03
134,animal model,0.39,0.06
134,animal model,0.65,0.06
135,animal model,0.002,0.071
135,animal model,0.002,0.071
135,animal model,0.002,0.079
136,animal model,0.12,0.051
136,animal model,0.18,0.066
137,animal model,0.464,
137,animal model,0.169,
137,animal model,0.143,
137,animal model,0.149,
137,animal model,0.019,
138,animal model,0.37,0.08
138,animal model,0.05,0.02
138,animal model,0.27,0.06
138,animal model,0.4,0.15
138,animal model,0.05,0.02
138,animal model,0.12,0.03
139,parent-offspring regression,0.5,0.52
139,parent-offspring regression,0.51,0.41
139,parent-offspring regression,0.55,0.31
139,parent-offspring regression,0.69,0.35
139,parent-offspring regression,0.81,0.15
139,parent-offspring regression,0.88,0.5
139,parent-offspring regression,0.9,0.32
139,parent-offspring regression,0.91,0.31
139,parent-offspring regression,0.95,0.2
139,parent-offspring regression,0.97,0.38
139,parent-offspring regression,1.46,0.28
139,parent-offspring regression,1.58,0.41
139,parent-offspring regression,0.54,0.3
139,parent-offspring regression,0.59,0.25
139,parent-offspring regression,0.62,0.14
139,parent-offspring regression,0.71,0.35
139,parent-offspring regression,0.72,0.34
139,parent-offspring regression,0.73,0.19
139,parent-offspring regression,0.74,0.35
139,parent-offspring regression,0.85,0.13
139,parent-offspring regression,0.89,0.28
139,parent-offspring regression,0.89,0.22
139,parent-offspring regression,1.11,0.23
139,parent-offspring regression,1.28,0.39
139,parent-offspring regression,0.35,0.27
139,parent-offspring regression,0.55,0.35
139,parent-offspring regression,0.69,0.17
139,parent-offspring regression,0.78,0.46
139,parent-offspring regression,0.79,0.21
139,parent-offspring regression,0.81,0.22
139,parent-offspring regression,0.83,0.38
139,parent-offspring regression,0.93,0.17
139,parent-offspring regression,0.97,0.29
139,parent-offspring regression,1.06,0.46
139,parent-offspring regression,1.13,0.26
139,parent-offspring regression,1.28,0.39
139,parent-offspring regression,0.3,0.43
139,parent-offspring regression,0.55,0.3
139,parent-offspring regression,0.66,0.32
139,parent-offspring regression,0.66,0.19
139,parent-offspring regression,0.71,0.34
139,parent-offspring regression,0.74,0.25
139,parent-offspring regression,0.76,0.52
139,parent-offspring regression,0.84,0.33
139,parent-offspring regression,0.88,0.28
139,parent-offspring regression,0.9,0.14
139,parent-offspring regression,0.94,0.38
139,parent-offspring regression,1.03,0.46
139,parent-offspring regression,0.21,0.53
139,parent-offspring regression,0.47,0.37
139,parent-offspring regression,0.75,0.21
139,parent-offspring regression,0.85,0.41
139,parent-offspring regression,0.9,0.26
139,parent-offspring regression,0.9,0.35
139,parent-offspring regression,0.92,0.26
139,parent-offspring regression,0.93,0.19
139,parent-offspring regression,0.95,0.24
139,parent-offspring regression,1.03,0.61
139,parent-offspring regression,1.18,0.33
139,parent-offspring regression,1.52,0.47
139,parent-offspring regression,0.17,0.6
139,parent-offspring regression,0.45,0.5
139,parent-offspring regression,0.5,0.54
139,parent-offspring regression,0.69,0.35
139,parent-offspring regression,0.77,0.35
139,parent-offspring regression,0.79,0.35
139,parent-offspring regression,0.86,0.65
139,parent-offspring regression,0.93,0.22
139,parent-offspring regression,0.99,0.79
139,parent-offspring regression,1.15,0.57
139,parent-offspring regression,1.32,0.52
139,parent-offspring regression,1.51,0.35
140,parent-offspring regression,0.496,0.194
140,parent-offspring regression,0.574,0.212
140,parent-offspring regression,0.788,0.188
140,parent-offspring regression,0.452,0.206
140,parent-offspring regression,0.632,0.21
140,parent-offspring regression,0.75,0.208
141,animal model,0.32,0.12
141,animal model,0.32,0.11
142,parent-offspring regression,0.95,
142,parent-offspring regression,0.44,
142,parent-offspring regression,0.31,
142,parent-offspring regression,0.49,
142,parent-offspring regression,0.12,
142,parent-offspring regression,0.31,
143,animal model,0.2,0.087
143,animal model,0.25,0.11
143,animal model,0.48,0.092
144,animal model,0.289,0.037
144,animal model,0.192,0.036
145,animal model,0.24,
146,parent-offspring regression,-0.526,0.235
146,parent-offspring regression,-0.308,0.157
146,parent-offspring regression,-0.12,0.155
146,parent-offspring regression,-0.244,0.164
147,parent-offspring regression,0.24,
147,parent-offspring regression,0.44,
147,parent-offspring regression,0.44,
148,parent-offspring regression,0.5,0.5
148,parent-offspring regression,1.53,0.38
148,parent-offspring regression,1.54,0.43
148,parent-offspring regression,-0.04,0.29
148,parent-offspring regression,0.07,0.23
148,parent-offspring regression,0.29,0.43
148,parent-offspring regression,0.3,0.27
148,parent-offspring regression,0.47,0.25
148,parent-offspring regression,0.54,0.22
148,parent-offspring regression,0.9,0.33
148,parent-offspring regression,1.01,0.2
148,parent-offspring regression,1.12,0.37
149,parent-offspring regression,0.39,0.095
149,parent-offspring regression,0.506,0.132
149,parent-offspring regression,0.656,0.102
149,parent-offspring regression,0.294,0.073
149,parent-offspring regression,0.333,0.094
149,parent-offspring regression,0.524,0.078
149,parent-offspring regression,0.252,0.089
149,parent-offspring regression,0.426,0.087
149,parent-offspring regression,0.5,0.142
149,parent-offspring regression,0.317,0.106
149,parent-offspring regression,0.344,0.074
149,parent-offspring regression,0.372,0.092
149,parent-offspring regression,-0.088,0.102
149,parent-offspring regression,0.038,0.156
149,parent-offspring regression,0.268,0.134
149,parent-offspring regression,0.024,0.076
149,parent-offspring regression,0.135,0.102
149,parent-offspring regression,0.24,0.067
150,half-sib,0,0.484
150,half-sib,0.223,0.433
150,parent-offspring regression,0.599,0.464
150,half-sib,0.155,0.202
150,parent-offspring regression,0.271,0.241
150,half-sib,0.403,0.216
150,parent-offspring regression,0.056,0.195
150,parent-offspring regression,0.076,0.187
150,parent-offspring regression,0.085,0.255
150,parent-offspring regression,0.087,0.255
150,parent-offspring regression,0.09,0.312
150,parent-offspring regression,0.093,0.128
150,parent-offspring regression,0.132,0.183
150,parent-offspring regression,0.166,0.128
150,half-sib,0.227,0.286
150,half-sib,0.233,0.166
150,half-sib,0.246,0.252
150,half-sib,0.263,0.135
150,half-sib,0.305,0.22
150,parent-offspring regression,0.407,0.174
150,half-sib,0.688,0.287
151,parent-offspring regression,0.54,0.32
151,parent-offspring regression,0.24,0.34
151,parent-offspring regression,0.44,0.38
151,parent-offspring regression,-0.04,0.38
152,animal model,0.27,0.07
152,animal model,0.33,0.07
153,animal model,0.11,0.15
153,animal model,0.16,0.15
153,animal model,0.27,0.07
153,animal model,0.36,0.29
153,animal model,0.68,0.15
153,animal model,0.57,0.02
153,animal model,0.59,0.18
153,animal model,0.67,0.07
153,animal model,0.76,0.07
153,animal model,0.61,0.07
153,animal model,0.19,0.02
153,animal model,0.33,0.07
153,animal model,0.62,0.11
153,animal model,0.31,0.15
153,animal model,0.59,0.11
153,animal model,0.21,0.11
153,animal model,0.25,0.15
153,animal model,0.04,0.05
153,animal model,0.09,0.13
153,animal model,0,0.02
153,animal model,0,
153,animal model,0,
153,animal model,0,
153,animal model,0,
153,animal model,0,
153,animal model,0,
153,animal model,0,0.02
153,animal model,0,
153,animal model,0,
153,animal model,0,
154,animal model,0.115,0.027
154,animal model,0.119,0.042
154,animal model,0.316,0.077
154,animal model,0.496,0.152
154,animal model,0.238,0.086
154,animal model,0.275,0.047
154,animal model,0.086,0.033
154,animal model,0.278,0.118
154,animal model,0.099,0.036
154,animal model,0.278,0.118
154,animal model,0.157,0.033
154,animal model,0.191,0.031
154,animal model,0.194,0.036
154,animal model,0.283,0.087
154,animal model,0.361,0.067
154,animal model,0.476,0.111
155,animal model,0.55,0.19
155,animal model,0.22,0.15
155,animal model,0.5,0.13
155,animal model,0.12,0.14
155,animal model,0.39,0.16
155,animal model,0.12,0.14
155,animal model,0.23,0.15
155,animal model,0.06,0.16
156,parent-offspring regression,0.746,0.263
156,parent-offspring regression,0.842,0.301
156,parent-offspring regression,-0.197,0.214
156,parent-offspring regression,0.968,0.327
157,parent-offspring regression,0.21,0.06
157,parent-offspring regression,0.43,0.05
157,parent-offspring regression,0.21,0.06
157,parent-offspring regression,0.24,0.06
158,parent-offspring regression,0.2,0.26
158,parent-offspring regression,0.36,0.26
158,parent-offspring regression,0.8,0.24
158,parent-offspring regression,0.82,0.24
158,parent-offspring regression,-0.18,0.24
158,parent-offspring regression,-0.06,0.26
158,parent-offspring regression,0.26,0.36
158,parent-offspring regression,0.58,0.28
158,parent-offspring regression,-0.22,0.26
158,parent-offspring regression,-0.2,0.22
158,parent-offspring regression,0.28,0.3
158,parent-offspring regression,0.94,0.32
158,parent-offspring regression,0.08,0.23
158,parent-offspring regression,0.32,0.21
158,parent-offspring regression,0.66,0.24
158,parent-offspring regression,0.72,0.3
159,parent-offspring regression,-0.25,0.12
159,parent-offspring regression,-0.17,0.24
159,parent-offspring regression,-0.15,0.21
159,grandparent-offspring regression,-0.03,0.4
159,grandparent-offspring regression,0.02,0.27
159,grandparent-offspring regression,0.05,0.33
159,grandparent-offspring regression,0.08,0.28
159,grandparent-offspring regression,0.19,0.19
159,parent-offspring regression,0.25,0.21
159,parent-offspring regression,0.25,0.13
159,grandparent-offspring regression,0.28,0.26
159,parent-offspring regression,0.34,0.14
159,parent-offspring regression,0.46,0.13
159,grandparent-offspring regression,0.47,0.26
159,parent-offspring regression,0.5,0.3
159,grandparent-offspring regression,0.56,0.18
159,grandparent-offspring regression,0.64,0.26
159,grandparent-offspring regression,0.65,0.4
159,grandparent-offspring regression,0.74,0.32
159,grandparent-offspring regression,0.89,0.49
160,parent-offspring regression,-0.18,0.33
160,parent-offspring regression,-0.14,0.12
160,parent-offspring regression,0,0.25
160,parent-offspring regression,0.04,0.15
160,parent-offspring regression,0.13,0.31
160,parent-offspring regression,0.16,0.13
160,parent-offspring regression,0.36,0.34
160,parent-offspring regression,0.39,0.13
161,parent-offspring regression,0.5,0.09
161,parent-offspring regression,0.59,0.11
161,parent-offspring regression,0.63,0.15
161,parent-offspring regression,0.65,0.13
161,parent-offspring regression,0.68,0.1
161,parent-offspring regression,0.72,0.14
161,parent-offspring regression,-0.16,0.21
161,parent-offspring regression,-0.02,0.24
161,parent-offspring regression,0.07,0.15
161,parent-offspring regression,0.11,0.23
161,parent-offspring regression,0.26,0.4
161,parent-offspring regression,0.27,0.24
161,parent-offspring regression,0.27,0.27
161,parent-offspring regression,0.29,0.22
161,parent-offspring regression,0.31,0.19
161,parent-offspring regression,0.38,0.28
161,parent-offspring regression,0.47,0.28
161,parent-offspring regression,0.65,0.2
161,parent-offspring regression,0.32,0.24
161,parent-offspring regression,0.52,0.13
161,parent-offspring regression,0.64,0.18
162,parent-offspring regression,-0.1,0.17
162,parent-offspring regression,0.04,0.04
162,parent-offspring regression,0.07,0.04
162,parent-offspring regression,0.54,0.3
162,parent-offspring regression,0.75,0.2
162,parent-offspring regression,1.14,0.39
163,parent-offspring regression,1.44,0.52
164,animal model,0.346,0.036
164,animal model,0.304,0.045
164,animal model,0.248,0.057
164,animal model,0.148,0.068
164,animal model,0.33,0.09
165,animal model,0.055,0.036
165,animal model,0.075,0.045
165,animal model,0.109,0.052
166,animal model,0.126,0.061
166,animal model,0.164,0.055
167,animal model,0.041,
167,animal model,0.092,
167,animal model,0.086,
167,animal model,0.053,
167,animal model,0.142,
167,animal model,0.12,
167,animal model,0,
167,animal model,0,
168,animal model,0.372,0.057
168,animal model,0.28,0.046
168,animal model,0.283,0.045
168,animal model,0.434,0.065
168,animal model,0.437,0.066
168,animal model,0.444,0.066
168,animal model,0.069,
168,animal model,0.24,
168,animal model,0.342,
168,animal model,0.047,
168,animal model,0.405,
168,animal model,0.359,
168,animal model,0.489,
169,animal model,0.126,0.03
170,animal model,0.05,0.108
170,animal model,0.042,0.054
170,animal model,0.044,0.08
170,animal model,0,0.001
