study ID,method 2,h2,SE of h2
14,parent-offspring regression,0.74,0.26
14,parent-offspring regression,1.1,0.42
14,full-sib,0.8,0.38
14,parent-offspring regression,0.53,0.37
14,parent-offspring regression,0.38,0.36
14,parent-offspring regression,0.97,0.49
14,full-sib,0.65,0.41
14,parent-offspring regression,0.43,0.22
14,parent-offspring regression,0.46,0.31
14,parent-offspring regression,0.38,0.3
14,full-sib,0.27,0.44
14,parent-offspring regression,0.62,0.22
14,parent-offspring regression,0.75,0.3
14,parent-offspring regression,1.17,0.32
14,full-sib,1.34,0.25
14,parent-offspring regression,0.82,0.15
14,parent-offspring regression,0.94,0.23
14,parent-offspring regression,0.95,0.26
14,full-sib,1.41,0.23
14,parent-offspring regression,0.95,0.19
14,parent-offspring regression,1.06,0.27
14,parent-offspring regression,1.09,0.42
14,full-sib,0.99,0.35
14,parent-offspring regression,0.48,0.32
14,parent-offspring regression,0.61,0.26
14,parent-offspring regression,0.15,0.32
14,full-sib,0.78,0.39
15,animal model,0.57,0.19
15,animal model,0.86,0.13
15,animal model,0.46,0.19
15,animal model,0.63,0.11
15,animal model,0.81,0.22
16,parent-offspring regression,0.72,0.232
17,animal model,0.041,0.038
17,animal model,0.145,0.04
18,animal model,0.087,0.088
18,animal model,0,0.005
19,animal model,0.037,0.02
19,animal model,0.043,0.016
20,animal model,0.11,0.013
21,animal model,0.04,0.017
22,parent-offspring regression,0.04,0.28
22,parent-offspring regression,0.83,0.24
22,parent-offspring regression,0.37,0.23
22,parent-offspring regression,0,0.25
23,animal model,0.2,0.12
23,animal model,0.43,0.07
24,animal model,0.045,0.051
24,animal model,0.289,0.05
24,animal model,0.467,0.063
24,animal model,0.635,0.185
25,animal model,0.531,0.138
25,animal model,0.909,0.088
26,animal model,0.002,0.054
27,animal model,0.195,0.058
27,animal model,0,
28,animal model,0.083,0.049
28,animal model,0.088,0.04
29,animal model,0.76,0.25
29,animal model,0.32,0.13
30,animal model,0.06,0.05
30,parent-offspring regression,0.312,
30,animal model,0.36,0.13
30,parent-offspring regression,0.586,
30,parent-offspring regression,0.618,
30,parent-offspring regression,0.86,
31,parent-offspring regression,0.49,
31,animal model,0.49,0.114
31,parent-offspring regression,0.23,
31,animal model,0.38,0.115
31,parent-offspring regression,0.68,
31,animal model,0.68,0.076
31,parent-offspring regression,0.82,
31,animal model,0.86,0.072
31,parent-offspring regression,0.26,
31,animal model,0.35,0.169
31,parent-offspring regression,0.53,
31,animal model,0.47,0.097
31,parent-offspring regression,0.77,
31,animal model,0.73,0.083
31,parent-offspring regression,0.53,
31,animal model,0.58,0.102
31,parent-offspring regression,0.47,
31,animal model,0.46,0.092
31,parent-offspring regression,0.26,
31,animal model,0.35,0.095
31,parent-offspring regression,0.39,
31,animal model,0.5,0.131
31,parent-offspring regression,0.18,
31,animal model,0.38,0.113
31,parent-offspring regression,0.56,
31,animal model,0.62,0.081
31,parent-offspring regression,0.39,
31,animal model,0.48,0.105
31,parent-offspring regression,0.64,
31,animal model,0.58,0.12
31,parent-offspring regression,0.66,
31,animal model,0.68,0.111
31,parent-offspring regression,0.08,
31,animal model,0.26,0.096
31,parent-offspring regression,1.04,
31,parent-offspring regression,0.67,
31,animal model,0.67,0.085
31,parent-offspring regression,0.91,
31,parent-offspring regression,0.4,
31,animal model,0.44,0.11
31,parent-offspring regression,0.44,
31,animal model,0.52,0.106
31,parent-offspring regression,0.9,
31,animal model,0.97,0.092
31,parent-offspring regression,0.25,
31,animal model,0.45,0.133
31,animal model,0.99,
31,animal model,0.88,0.082
31,parent-offspring regression,0.21,
31,animal model,0.28,0.093
31,parent-offspring regression,0.96,
31,animal model,0.99,
31,parent-offspring regression,-0.21,
31,animal model,0,0.078
32,animal model,0.13,0.08
32,animal model,0.17,0.05
32,animal model,0.17,0.06
32,animal model,0.26,0.06
32,animal model,0.26,0.06
32,animal model,0.05,0.04
32,animal model,0.15,0.09
32,animal model,0.09,0.03
33,animal model,0.43,0.12
33,animal model,0.2,0.05
33,animal model,0.32,0.07
33,animal model,0.25,0.04
33,animal model,0.16,0.04
33,animal model,0.06,0.03
33,animal model,0.07,0.02
33,animal model,0.16,0.15
33,animal model,0.07,0.14
33,animal model,0.39,0.13
33,animal model,0.23,0.09
33,animal model,0,
33,animal model,0,
33,animal model,0,
33,animal model,0,
34,animal model,0.07,0.04
34,animal model,0.28,0.02
34,animal model,0.13,0.01
34,animal model,0.14,0.01
34,animal model,0.24,0.04
34,animal model,0.13,0.03
34,animal model,0.35,0.21
34,animal model,0.11,0.02
35,animal model,0.41,0.11
35,animal model,0.69,0.1
36,parent-offspring regression,0.61,0.13
36,parent-offspring regression,0.61,0.23
36,parent-offspring regression,0.68,0.18
36,parent-offspring regression,0.64,0.18
36,parent-offspring regression,0.62,0.28
36,parent-offspring regression,0.78,0.26
37,animal model,0.38,0.092
37,animal model,0.17,0.076
38,animal model,0.29,0.15
38,animal model,0.48,0.09
38,animal model,0.34,0.094
38,animal model,0.15,0.13
39,parent-offspring regression,0.1,0.025
39,parent-offspring regression,0.125,0.033
39,parent-offspring regression,0.154,0.029
39,parent-offspring regression,0.174,0.03
39,parent-offspring regression,0.186,0.044
39,parent-offspring regression,0.292,0.061
40,animal model,0.34,0.13
40,animal model,0.52,0.17
40,animal model,0.6,0.2
41,parent-offspring regression,0.44,0.16
42,parent-offspring regression,0.61,0.19
43,parent-offspring regression,0.34,0.08
44,animal model,0.035,0.031
44,animal model,0.086,0.023
45,parent-offspring regression,-0.28,0.38
45,parent-offspring regression,-0.14,0.48
45,parent-offspring regression,0.62,
45,parent-offspring regression,1.4,0.76
45,parent-offspring regression,1.72,
45,parent-offspring regression,1.98,0.56
46,animal model,0.312,0.092
46,animal model,0.271,0.097
46,animal model,0.18,0.083
46,animal model,0.186,0.086
46,animal model,0.236,0.097
46,animal model,0.231,0.092
47,animal model,0.239,0.015
48,animal model,0.4,0.06
48,animal model,0.47,0.07
48,animal model,0.64,0.04
48,animal model,0.35,0.05
49,animal model,0.294,0.024
49,animal model,0.199,0.031
50,animal model,0.16,0.03
50,animal model,0.29,0.05
50,animal model,0.51,0.06
50,animal model,0.26,0.05
50,animal model,0.09,0.03
50,animal model,0.45,0.06
51,parent-offspring regression,-0.5,0.24
51,parent-offspring regression,-0.2,0.16
51,parent-offspring regression,-0.08,0.24
51,parent-offspring regression,0.2,0.2
52,animal model,0.097,0.045
53,animal model,0.17,0.031
53,animal model,0.25,0.034
54,parent-offspring regression,0.512,0.056
54,parent-offspring regression,0.035,0.073
