"id","dam","sire"
"574782-MGO",NA,NA
"574781-MMG3",NA,NA
"574788-MNB",NA,NA
"574785-MOR",NA,NA
"574787-MRG3",NA,NA
"574792-RBN",NA,NA
"574779-RMN",NA,NA
"574786-RNB",NA,NA
"574791-RNR",NA,NA
"574793-ROR",NA,NA
"574783-RRO",NA,NA
"574789-RYY",NA,NA
"574794-GRN",NA,NA
"574797-GBO",NA,NA
"574796-GGB2",NA,NA
"574795-GOR",NA,NA
"574798-GRR2",NA,NA
"574505-GBG",NA,NA
"574502-GBN",NA,NA
"574507-GMB",NA,NA
"574508-GMY2",NA,NA
"574509-GOM",NA,NA
"686899-GRM",NA,NA
"574504-GRO",NA,NA
"574800-GRY",NA,NA
"574513-OGN",NA,NA
"574512-ONR",NA,NA
"574514-OOR",NA,NA
"574531-NMN",NA,NA
"574532-OOO",NA,NA
"574538-GSnG",NA,NA
"574541-GowO",NA,NA
"574542-MowO",NA,NA
"574543-NowO",NA,NA
"574546-BbwM",NA,NA
"574544-MbwM2",NA,NA
"574545-RbwM",NA,NA
"574564-GnyN2",NA,NA
"574566-MnyN2",NA,NA
"574565-RnyN2",NA,NA
"574587-GgwN2",NA,NA
"574588-MgwN",NA,NA
"574586-NgwN3",NA,NA
"574589-RgwN2",NA,NA
"574591-GgwB",NA,NA
"574590-MgwB2",NA,NA
"574592-OgwB2",NA,NA
"575472-NNN",NA,NA
"574598-OBM2",NA,NA
"574597-ONO2",NA,NA
"596615-BYY",NA,NA
"596608-GmyN",NA,NA
"596605-NmyN",NA,NA
"596607-RmyN",NA,NA
"596606-YmyN",NA,NA
"596620-BCR",NA,NA
"596621-GCR",NA,NA
"596623-MmyR",NA,NA
"596622-OmyR",NA,NA
"596628-GmyY",NA,NA
"596629-OmyY",NA,NA
"596630-RmyY",NA,NA
"596631-SnmyY",NA,NA
"596650-ByrY",NA,NA
"596648-GyrY",NA,NA
"596649-YyrY",NA,NA
"596656-BgyR",NA,NA
"596658-GgyR",NA,NA
"596660-NnyN2",NA,NA
"596655-OgyR",NA,NA
"596657-YgyR",NA,NA
"596664-BBN",NA,NA
"596662-GYN",NA,NA
"596674-BybY2",NA,NA
"596675-MybY2",NA,NA
"596673-OybY2",NA,NA
"596672-_B_",NA,NA
"596670-_G_",NA,NA
"596671-_Y_",NA,NA
"596676-_yb_",NA,NA
"596710-GWG",NA,NA
"596712-BgwB2",NA,NA
"596711-RgwB",NA,NA
"596713-YgwB",NA,NA
"596727-GmwR",NA,NA
"596726-NmwR",NA,NA
"596725-YmwR",NA,NA
"596747-BWW",NA,NA
"596748-GNB",NA,NA
"596746-MMR",NA,NA
"596751-BWM",NA,NA
"501855-NRN",NA,NA
"596759-RWR",NA,NA
"596769-OOY",NA,NA
"596762-RYN",NA,NA
"596771-MYO",NA,NA
"596772-BGW2",NA,NA
"579708-AOG",NA,NA
"579710-NWO",NA,NA
"040000-MNW",NA,NA
"596778-GMO2",NA,NA
"596785-MYM",NA,NA
"596796-MMW2",NA,NA
"596801-GWR",NA,NA
"596816-WYN",NA,NA
"653011-_WG",NA,NA
"653020-_MN",NA,NA
"650020-_OB2",NA,NA
