"bird_id","dam","sire","social_male","social_male_dummy"
"X551491","L002125","L002178","L002178","L002178"
"X551492","X551051","X551236","X551236","X551236"
"X551495","X551051","X551236","X551236","X551236"
"X551496","X551051","X551236","X551236","X551236"
"X551489","X551051","X551236","X551236","X551236"
"X551494","L002125","P865490","L002178","L002178"
"X551490","L002117","X552076","X552076","X552076"
"X551488","X551051","X551236","X551236","X551236"
"X551493","L002125","L002178","L002178","L002178"
"10_155BT","X551051","X551236","X551236","X551236"
"10_155N","L002125","L002178","L002178","L002178"
"X551503","X552112","L002136","X552091","X552091"
"X551504","X552122","X552123","X552123","X552123"
"X551502","X552122","10_C11","X552123","X552123"
"X551501","X552122","X552123","X552123","X552123"
"X551500","X552122","X552123","X552123","X552123"
"X551497","X552112","L002136","X552091","X552091"
"X551505","X552122","X552123","X552123","X552123"
"X551498","X552112","X552091","X552091","X552091"
"X551499","X552122","X552123","X552123","X552123"
"10_A20BT","X552122","10_C11","X552123","X552123"
"X551535","X552124","L002320","L002320","L002320"
"X551543","X552124","X552088","L002320","L002320"
"X551537","X552124","L002320","L002320","L002320"
"X551542","X552124","L002320","L002320","L002320"
"X551539","10_128F","10_C38",NA,"10_128M"
"X551536","10_128F","10_C37",NA,"10_128M"
"X551538","10_128F","10_C37",NA,"10_128M"
"X551541","10_128F","10_C37",NA,"10_128M"
"X551613","X552124","L002320","L002320","L002320"
"X551540","10_128F","10_C37",NA,"10_128M"
"X551555","X552018","X552058","X552058","X552058"
"X551547","10_53F","10_C39","X552125","X552125"
"X551544","10_53F","X552125","X552125","X552125"
"X551546","10_53F","X552125","X552125","X552125"
"X551552","10_53F","X552125","X552125","X552125"
"X551551","X552018","X552080","X552058","X552058"
"X551553","10_53F","X552125","X552125","X552125"
"X551554","X552018","X552058","X552058","X552058"
"X551545","10_158F","X551131",NA,"10_158M"
"X551549","10_53F","X552125","X552125","X552125"
"X551550","10_53F","X552125","X552125","X552125"
"X551548","10_53F","X552125","X552125","X552125"
"X551512","X552074","X552070","X552070","X552070"
"X551508","X552074","X552070","X552070","X552070"
"X551507","X551051","X551236","X551236","X551236"
"X551515","X551051","X551236","X551236","X551236"
"X551511","X552074","X552070","X552070","X552070"
"X551513","X552074","X552070","X552070","X552070"
"X551514","X551051","X551236","X551236","X551236"
"X551510","X551051","X551236","X551236","X551236"
"X551509","X552074","X552070","X552070","X552070"
"X551506","X552074","X552070","X552070","X552070"
"X551521","L002125","L002178","L002178","L002178"
"X551520","L002125","P865490","L002178","L002178"
"X551516","X552074","X552070","X552070","X552070"
"X551517","L002125","L002178","L002178","L002178"
"X551524","L002125","L002178","L002178","L002178"
"X551525","X552074","X552070","X552070","X552070"
"X551522","L002125","P865490","L002178","L002178"
"X551523","X552074","X552070","X552070","X552070"
"X551519","X552074","X552070","X552070","X552070"
"X551518","10_77F","10_C36",NA,"10_77M"
"X551526","X552074","X552070","X552070","X552070"
"X551529","X552018","X552080","X552058","X552058"
"X551528","10_53F","X552125","X552125","X552125"
"X551530","10_53F","X552125","X552125","X552125"
"X551531","X552018","X552058","X552058","X552058"
"X551532","X552018","X552058","X552058","X552058"
"X551527","L002076","X552127","X552127","X552127"
"X551533","X552018","X552058","X552058","X552058"
"X551534","X552018","X552058","X552058","X552058"
"X551559","X552022","L002135","L002135","L002135"
"X551561","L002275","X551073","X551073","X551073"
"X551558","X552128","X552051","X552051","X552051"
"X551562","X552022","X552109","L002135","L002135"
"X551560","L002275","X551073","X551073","X551073"
"X551556","X552022","L002135","L002135","L002135"
"X551557","L002275","X551073","X551073","X551073"
"X551584","X552015","L002177","L002177","L002177"
"X551581","X552015","L002177","L002177","L002177"
"X551582","X552126","10_C12",NA,"10_A22M"
"10_A22LB","X552126","10_C12",NA,"10_A22M"
"X551583","X552015","X551351","L002177","L002177"
"X551580","X552126","10_C12",NA,"10_A22M"
"X551571","L002248","P865295","P865295","P865295"
"X551573","L002221","X552088","X552088","X552088"
"X551579","L002248","P865295","P865295","P865295"
"X551572","L002248","P865295","P865295","P865295"
"X551570","L002248","P865295","P865295","P865295"
"X551576","L002248","P865295","P865295","P865295"
"X551578","L002221","X552088","X552088","X552088"
"X551575","X552126","X552123",NA,"10_A22M"
"X551574","L002221","X552088","X552088","X552088"
"X551577","L002248","P865295","P865295","P865295"
"X551567","X551303","X552133","X552133","X552133"
"X551563","X551303","X552133","X552133","X552133"
"X551564","L002275","X551073","X551073","X551073"
"X551569","X551303","10_C40","X552133","X552133"
"X551568","L002275","X551073","X551073","X551073"
"X551565","X551303","X552133","X552133","X552133"
"X551566","X551303","X552133","X552133","X552133"
"X551586","P865325","X551016","L002029","L002029"
"X551588","P865325","L002029","L002029","L002029"
"X551585","X552128","X552051","X552051","X552051"
"X551592","P865325","L002029","L002029","L002029"
"X551587","X552128","X552051","X552051","X552051"
"X551590","X552128","X552051","X552051","X552051"
"X551591","P865325","X551016","L002029","L002029"
"X551589","X552128","X552051","X552051","X552051"
"X551627","L002184","X552127","X552133","X552133"
"X551631","L002184","X552127","X552133","X552133"
"X551630","L002076","X552127","X552127","X552127"
"X551626","L002076","X552127","X552127","X552127"
"X551629","L002184","X552133","X552133","X552133"
"10_31RB","L002184","X552133","X552133","X552133"
"X551628","L002076","X552127","X552127","X552127"
"10_41L","10_41F","L002093",NA,"10_41M"
"10_41R","10_41F","L002093",NA,"10_41M"
"10_41B","X552018","X552058","X552058","X552058"
"10_41LR","L002076","X552127","X552127","X552127"
"10_41LB","10_41F","L002093",NA,"10_41M"
"10_41RB","L002076","X552127","X552127","X552127"
"X551623","L002248","P865295","P865295","P865295"
"X551616","L002118","X552101","X552101","X552101"
"X551619","L002118","X552101","X552101","X552101"
"X551617","L002248","P865295","P865295","P865295"
"X551622","X552149","X552125",NA,"10_54M"
"X551621","X552151","X552093","X552093","X552093"
"X551618","L002248","10_C43","P865295","P865295"
"X551615","L002248","P865295","P865295","P865295"
"X551624","L002118","X552101","X552101","X552101"
"X551625","L002118","X552101","X552101","X552101"
"X551614","L002118","X552101","X552101","X552101"
"X551620","L002118","X552101","X552101","X552101"
"X551609","X552124","X552088","L002320","L002320"
"X551608","10_128F","10_C37",NA,"10_128M"
"X551604","10_128F","10_C41",NA,"10_128M"
"X551601","X552124","L002320","L002320","L002320"
"X551611","X552124","L002320","L002320","L002320"
"X551603","X552124","X552088","L002320","L002320"
"X551610","10_128F","10_C37",NA,"10_128M"
"X551607","X552124","L002320","L002320","L002320"
"X551606","X551104","X551369","X551369","X551369"
"X551612","X552124","L002320","L002320","L002320"
"X551602","10_128F","10_C38",NA,"10_128M"
"X551605","10_128F","10_C42",NA,"10_128M"
"X551599","X552122","X552123","X552123","X552123"
"X551600","X552122","X552123","X552123","X552123"
"X551598","X552122","X552123","X552123","X552123"
"X551597","X552112","L002136","X552091","X552091"
"X551595","X552112","L002136","X552091","X552091"
"X551594","X552112","X552091","X552091","X552091"
"X551593","X552122","X552123","X552123","X552123"
"X551596","X552161","X552058","X552058","X552058"
"X551635","L002223","10_C44","L002241","L002241"
"X551639","L002223","X275503","L002241","L002241"
"X551632","X552141","X551416","X551416","X551416"
"X551634","L002223","10_C44","L002241","L002241"
"X551637","X552141","X552133","X551416","X551416"
"X551633","L002223","L002241","L002241","L002241"
"X551640","X552141","10_C45","X551416","X551416"
"X551636","X552141","X551416","X551416","X551416"
"X551638","X552114","X552113","X552113","X552113"
"X551659","X552129","10_C13",NA,"10_A25M"
"X551655","X552015","L002177","L002177","L002177"
"X551654","X552015","L002177","L002177","L002177"
"X551660","X552129","10_C13",NA,"10_A25M"
"X551652","X552015","L002177","L002177","L002177"
"X551657","X552129","10_C13",NA,"10_A25M"
"X551658","X552129","10_C13",NA,"10_A25M"
"X551656","X552015","L002177","L002177","L002177"
"X551653","X552015","X551351","L002177","L002177"
"X551651","L002184","X552127","X552133","X552133"
"X551643","X552057","X552080","X552080","X552080"
"X551648","10_41F","L002093",NA,"10_41M"
"X551642","L002184","X552133","X552133","X552133"
"X551646","L002184","X552133","X552133","X552133"
"X551644","10_41F","L002093",NA,"10_41M"
"X551650","L002184","X552133","X552133","X552133"
"X551645","L002184","X552133","X552133","X552133"
"X551649","10_41F","L002093",NA,"10_41M"
"X551641","L002184","X552133","X552133","X552133"
"X551647","L002184","X552133","X552133","X552133"
"X551662","X552045","X552084","X552130","X552130"
"X551666","X552045","X552130","X552130","X552130"
"X551663","X552045","X552130","X552130","X552130"
"X551665","X552045","X552130","X552130","X552130"
"X551661","X552045","X552130","X552130","X552130"
"X551668","X552045","X552130","X552130","X552130"
"X551667","X552045","X552084","X552130","X552130"
"X551664","X552045","X552130","X552130","X552130"
"X551677","X552129","10_C13",NA,"10_A25M"
"X551678","X552126","10_C12",NA,"10_A22M"
"X551671","X552126","10_C12",NA,"10_A22M"
"X551673","X552129","10_C13",NA,"10_A25M"
"X551679","X552126","10_C12",NA,"10_A22M"
"X551672","X552129","10_C13",NA,"10_A25M"
"X551676","L002221","L002095","X552088","X552088"
"X551670","X552129","10_C13",NA,"10_A25M"
"X551674","X552126","X552154",NA,"10_A22M"
"X551669","X552129","10_C13",NA,"10_A25M"
"X551675","X552129","10_C13",NA,"10_A25M"
"X551715","X552107","X551139","X551139","X551139"
"X551720","X552107","X551139","X551139","X551139"
"X551723","P865325","L002029","L002029","L002029"
"X551716","10_A39F","10_C46","X552131","X552131"
"X551719","X552107","X551139","X551139","X551139"
"X551724","X552107","X551139","X551139","X551139"
"X551714","X552107","X551139","X551139","X551139"
"X551721","10_A39F","10_C46","X552131","X552131"
"X551725","10_A39F","10_C47","X552131","X552131"
"X551722","10_A39F","X552131","X552131","X552131"
"X551718","10_A39F","X552131","X552131","X552131"
"X551717","10_A39F","X552131","X552131","X552131"
"X551680","P865325","X551016","L002029","L002029"
"X551683","P865325","L002029","L002029","L002029"
"X551682","P865325","L002029","L002029","L002029"
"X551685","10_A39F","X552131","X552131","X552131"
"X551681","P865325","L002029","L002029","L002029"
"X551684","P865325","L002029","L002029","L002029"
"X551692","10_158F","X551131",NA,"10_158M"
"X551690","10_53F","X552125","X552125","X552125"
"X551691","10_158F","X551131",NA,"10_158M"
"X551687","X552057","X552080","X552080","X552080"
"X551686","10_158F","X551131",NA,"10_158M"
"X551689","X552057","X552080","X552080","X552080"
"X551688","10_158F","X551131",NA,"10_158M"
"X551697","X551104","X551369","X551369","X551369"
"X551696","X551104","X552089","X551369","X551369"
"X551698","X552139","X552131",NA,"10_A38M"
"X551700","X552139","X552131",NA,"10_A38M"
"X551694","X552139","X552131",NA,"10_A38M"
"X551695","X551104","X551369","X551369","X551369"
"X551699","X551104","X552081","X551369","X551369"
"X551693","X552139","X552131",NA,"10_A38M"
"X551709","L002221","L002095","X552088","X552088"
"X551713","L002118","X552101","X552101","X552101"
"X551708","L002118","X552101","X552101","X552101"
"X551710","L002221","X552125","X552088","X552088"
"X551702","L002221","X552125","X552088","X552088"
"X551711","L002118","X552101","X552101","X552101"
"X551704","L002221","X552088","X552088","X552088"
"X551712","L002118","X552125","X552101","X552101"
"X551705","L002221","X552088","X552088","X552088"
"X551706","L002221","X552088","X552088","X552088"
"X551707","L002221","X552088","X552088","X552088"
"X551701","L002118","X552125","X552101","X552101"
"X551703","L002221","X552088","X552088","X552088"
"X551804","X552114","X552113","X552113","X552113"
"X551806","X552041","X552132","X552132","X552132"
"X551802","X552114","X552113","X552113","X552113"
"X551801","X552041","10_C48","X552132","X552132"
"X551800","X552114","X552113","X552113","X552113"
"X551805","X552041","X552132","X552132","X552132"
"X551803","X552141","X552133","X551416","X551416"
"X551807","X552041","X552132","X552132","X552132"
"X551809","X552114","X552130","X552113","X552113"
"X551808","X552041","X552132","X552132","X552132"
"X551810","L002125","L002178","L002178","L002178"
"X551814","X552134","X552123","X552136","X552136"
"X551815","X552134","X552123","X552136","X552136"
"X551813","10_77F","10_C50",NA,"10_77M"
"X551817","10_77F","X552109",NA,"10_77M"
"X551818","10_77F","X552109",NA,"10_77M"
"X551812","X552134","X552123","X552136","X552136"
"X551819","10_77F","X552109",NA,"10_77M"
"X551811","X552134","X552123","X552136","X552136"
"X551816","X552134","10_C51","X552136","X552136"
"X551820","X552142","X552051","X552051","X552051"
"X551828","L002205","X551011","X551011","X551011"
"X551823","X552138","10_C52","X552137","X552137"
"X551821","X552142","X552051","X552051","X552051"
"X551825","X552138","10_C52","X552137","X552137"
"X551829","X552138","X552137","X552137","X552137"
"X551824","X552142","X552051","X552051","X552051"
"X551826","X552138","10_C52","X552137","X552137"
"X551831","X552138","X552137","X552137","X552137"
"X551830","X552138","X552137","X552137","X552137"
"X551827","X552138","X552137","X552137","X552137"
"X551822","X552138","X552137","X552137","X552137"
"X551834","L002316","X552100","X552100","X552100"
"X551832","L002316","X552100","X552100","X552100"
"X551835","X552139","X552131",NA,"10_A38M"
"X551833","L002316","X552100","X552100","X552100"
"X551836","X552139","X552131",NA,"10_A38M"
"L298655","X552139","X552131",NA,"10_A38M"
"X551837","L002316","X552100","X552100","X552100"
"X551845","X552033","X552135","X552135","X552135"
"X551847","X552033","X552135","X552135","X552135"
"X551843","L002223","L002241","L002241","L002241"
"X551840","X552033","X552135","X552135","X552135"
"X551846","L002223","10_C44","L002241","L002241"
"X551844","L002223","L002241","L002241","L002241"
"X551839","L002223","10_C44","L002241","L002241"
"X551841","L002223","L002241","L002241","L002241"
"X551842","X552033","X552135","X552135","X552135"
"X551838","X552033","X552135","X552135","X552135"
"X551798","X551303","X551416","X552133","X552133"
"X551794","X551303","X552133","X552133","X552133"
"X551791","X552022","L002135","L002135","L002135"
"X551792","X551303","X552133","X552133","X552133"
"X551789","X552022","X552109","L002135","L002135"
"X551795","X551303","X551416","X552133","X552133"
"X551790","X552022","L002135","L002135","L002135"
"X551797","X551303","X552133","X552133","X552133"
"X551793","X552140","L002215","L002215","L002215"
"X551796","X551303","X552133","X552133","X552133"
"X551799","X551303","X552133","X552133","X552133"
"X551776","L002026","L002015","L002015","L002015"
"X551775","X552140","L002215","L002215","L002215"
"X551778","X552140","L002215","L002215","L002215"
"X551779","X552022","X552109","L002135","L002135"
"X551780","X552140","L002215","L002215","L002215"
"X551777","L002026","L002015","L002015","L002015"
"X551782","X551014","10_C49","X551186","X551186"
"X551781","X551014","X551186","X551186","X551186"
"X551786","L002067","L002136","L002136","L002136"
"X551785","L002067","L002136","L002136","L002136"
"X551784","X551014","X551186","X551186","X551186"
"X551787","L002067","L002136","L002136","L002136"
"X551788","L002067","L002136","L002136","L002136"
"X551783","L002067","L002136","L002136","L002136"
"X551769","10_A39F","X552131","X552131","X552131"
"X551768","X552054","X552090","X552090","X552090"
"X551765","X552054","X552090","X552090","X552090"
"X551770","10_A39F","X552131","X552131","X552131"
"X551774","10_A39F","X552131","X552131","X552131"
"X551773","10_A39F","X552131","X552131","X552131"
"X551767","X552054","X552090","X552090","X552090"
"X551766","10_A39F","X552131","X552131","X552131"
"X551772","L002334","X552109","X552109","X552109"
"X551748","10_A35F","10_C15",NA,"10_A35M"
"X551751","X552037","X552132","X552081","X552081"
"X551750","10_A35F","10_C15",NA,"10_A35M"
"X551749","X552037","X552081","X552081","X552081"
"X551752","X552037","X552081","X552081","X552081"
"X551746","X552037","X552081","X552081","X552081"
"X551747","X552037","X552081","X552081","X552081"
"X551753","10_A35F","10_C15",NA,"10_A35M"
"X551755","X552041","X552132","X552132","X552132"
"X551764","10_82F","X551012",NA,"10_82M"
"X551759","10_82F","X551012",NA,"10_82M"
"X551762","X552041","10_C48","X552132","X552132"
"X551754","X552041","P865479","X552132","X552132"
"X551758","10_82F","X551012",NA,"10_82M"
"X551761","X552041","X552132","X552132","X552132"
"X551757","10_82F","X551012",NA,"10_82M"
"X551760","X552041","X552132","X552132","X552132"
"X551756","10_82F","X551012",NA,"10_82M"
"X551763","X552134","X552123","X552136","X552136"
"X551743","X552107","X551139","X551139","X551139"
"X551745","X552107","X551139","X551139","X551139"
"X551738","X552107","X551139","X551139","X551139"
"X551736","X552107","X551139","X551139","X551139"
"X551735","X552054","X552090","X552090","X552090"
"X551737","X552054","X552090","X552090","X552090"
"X551744","X552107","X551139","X551139","X551139"
"X551741","X552054","X552090","X552090","X552090"
"X551739","X552107","X551139","X551139","X551139"
"X551742","X552054","X552090","X552090","X552090"
"X551740","10_A1F","10_C28",NA,"10_A1M"
"X551729","L002168","X552148","X552148","X552148"
"X551726","L002067","L002136","L002136","L002136"
"X551733","L002168","X552148","X552148","X552148"
"X551727","L002067","L002136","L002136","L002136"
"X551731","L002168","X552148","X552148","X552148"
"X551730","L002067","P865483","L002136","L002136"
"X551734","L002067","L002136","L002136","L002136"
"X551732","L002168","X552148","X552148","X552148"
"X551728","L002168","X552148","X552148","X552148"
"X551946","10_179F","X551016","X551016","X551016"
"X551940","L002084","L002204","L002204","L002204"
"X551944","10_179F","X551016","X551016","X551016"
"X551943","L002084","X551073","L002204","L002204"
"10_179LB","L002084","X551073","L002204","L002204"
"X551945","10_179F","X551016","X551016","X551016"
"X551947","L002084","X551073","L002204","L002204"
"X551939","L002084","L002204","L002204","L002204"
"X551941","10_179F","X551016","X551016","X551016"
"X551942","X551053","X551012","X551012","X551012"
"X551948","L002084","X551073","L002204","L002204"
"X551949","X551051","X551236","X551236","X551236"
"X551952","L002084","L002204","L002204","L002204"
"X551950","L002084","L002204","L002204","L002204"
"X551951","X551185","P865479","P865479","P865479"
"X551953","L002084","L002204","L002204","L002204"
"X551955","X551185","P865479","P865479","P865479"
"X551957","X551185","P865479","P865479","P865479"
"X551954","L002084","10_C56","L002204","L002204"
"X551956","X551185","P865479","P865479","P865479"
"X551958","X552120","X552076","X552076","X552076"
"X551963","X552120","X552076","X552076","X552076"
"X551962","X552120","X552076","X552076","X552076"
"X551959","X552120","X552076","X552076","X552076"
"X551961","10_139F","L002136",NA,"10_139M"
"X551960","10_139F","L002215",NA,"10_139M"
"X551964","X552120","X552076","X552076","X552076"
"10_82L","10_82F","X551012",NA,"10_82M"
"10_82R","X552042","L002095","L002095","L002095"
"10_82B","X552042","L002095","L002095","L002095"
"10_82LR","X552042","L002095","L002095","L002095"
"10_82LB","X552049","10_C7","X552084","X552084"
"10_82RB","X552042","L002095","L002095","L002095"
"10_82LT","10_82F","X552088",NA,"10_82M"
"10_82RT","10_82F","X552109",NA,"10_82M"
"10_82BT","10_82F","X551012",NA,"10_82M"
"10_82N","10_82F","X551012",NA,"10_82M"
"10_82A","10_82F","X551012",NA,"10_82M"
"X551967","X552138","X552137","X552137","X552137"
"X551970","X551053","X551012","X551012","X551012"
"X551968","X552138","10_C52","X552137","X552137"
"X551966","X552138","X552137","X552137","X552137"
"X551969","X551053","X551012","X551012","X551012"
"X551971","X551053","X551012","X551012","X551012"
"X551965","L002084","L002204","L002204","L002204"
"X551972","X551053","X551012","X551012","X551012"
"X551978","X552042","L002095","L002095","L002095"
"X551975","X552114","X552113","X552113","X552113"
"X551981","X552114","X552113","X552113","X552113"
"X551974","X552042","L002095","L002095","L002095"
"X551976","X552042","L002095","L002095","L002095"
"X551980","X552114","X552113","X552113","X552113"
"X551979","X552042","L002095","L002095","L002095"
"X551983","X552042","L002095","L002095","L002095"
"X551973","X552042","L002095","L002095","L002095"
"X551982","X552114","X552113","X552113","X552113"
"X551984","X552114","X552113","X552113","X552113"
"X551977","X552042","L002095","L002095","L002095"
"X551986","L002173","X551351","X551351","X551351"
"X551989","L002173","X551351","X551351","X551351"
"X551987","L002173","X551351","X551351","X551351"
"X551985","X552041","X552132","X552132","X552132"
"X551988","L002173","X551351","X551351","X551351"
"X551997","X552117","X552158","X552158","X552158"
"X551993","X552144","X552146","X552146","X552146"
"X551995","X552144","X552146","X552146","X552146"
"X552000","X552117","10_C57","X552158","X552158"
"X551992","X552144","X552146","X552146","X552146"
"X551996","X552117","10_C57","X552158","X552158"
"X551990","X552117","X552158","X552158","X552158"
"X551998","X552144","X552146","X552146","X552146"
"X551994","X552144","X552146","X552146","X552146"
"X551999","X552117","X552158","X552158","X552158"
"X551991","X552144","X552146","X552146","X552146"
"L298602","X552046","X552127","X552127","X552127"
"L298606","X552046","X552127","X552127","X552127"
"L298601","X552145","10_C17",NA,"10_A26M"
"L298607","X552145","10_C17",NA,"10_A26M"
"L298605","X552145","10_C17",NA,"10_A26M"
"L298603","X552046","X552127","X552127","X552127"
"L298608","X552046","X552127","X552127","X552127"
"L298604","X552145","10_C17",NA,"10_A26M"
"X551854","L002168","X552148","X552148","X552148"
"L298663","X551014","X551186","X551186","X551186"
"X551849","L002168","X552148","X552148","X552148"
"X551850","X551014","10_C49","X551186","X551186"
"X551855","X551014","X551186","X551186","X551186"
"X551851","L002168","X552148","X552148","X552148"
"X551856","10_179F","X551016","X551016","X551016"
"X551857","X551014","X551186","X551186","X551186"
"X551852","L002168","X552148","X552148","X552148"
"X551853","L002168","X552148","X552148","X552148"
"X551848","L002168","X552148","X552148","X552148"
"X551868","X552140","L002215","L002215","L002215"
"X551861","X552128","X552051","X552051","X552051"
"X551859","X552128","X552051","X552051","X552051"
"X551866","X552140","L002215","L002215","L002215"
"X551863","X552140","L002215","L002215","L002215"
"X551865","X552140","L002215","L002215","L002215"
"X551858","X552128","X552051","X552051","X552051"
"X551867","X552140","L002215","L002215","L002215"
"X551862","X552140","L002215","L002215","L002215"
"L298664","X552140","L002215","L002215","L002215"
"X551869","X552140","L002215","L002215","L002215"
"X551864","L002275","X551073","X551073","X551073"
"X551860","X552140","L002215","L002215","L002215"
"X551880","L002205","X551011","X551011","X551011"
"X551881","L002264","P865483","P865483","P865483"
"X551884","X552142","X552051","X552051","X552051"
"X551885","L002264","P865483","P865483","P865483"
"X551882","L002264","P865483","P865483","P865483"
"X551888","L002205","X551011","X551011","X551011"
"X551886","L002205","X551011","X551011","X551011"
"X551887","L002264","P865483","P865483","P865483"
"X551883","L002264","P865483","P865483","P865483"
"X551879","L002205","X551011","X551011","X551011"
"L298665","L002205","X551011","X551011","X551011"
"X551871","L002125","L002178","L002178","L002178"
"X551876","L002117","X552076","X552076","X552076"
"X551872","L002205","X551011","X551011","X551011"
"X551878","L002205","X551011","X551011","X551011"
"X551870","L002117","X552076","X552076","X552076"
"X551877","L002117","X552076","X552076","X552076"
"X551875","L002205","X551011","X551011","X551011"
"X551873","L002205","X551011","X551011","X551011"
"X551874","L002205","X551011","X551011","X551011"
"10_146N","L002117","X552076","X552076","X552076"
"X551895","10_128F","10_C37",NA,"10_128M"
"X551894","P865398","X552089","X552089","X552089"
"X551891","X551104","X551369","X551369","X551369"
"X551892","X551104","X551369","X551369","X551369"
"X551890","P865398","X552089","X552089","X552089"
"X551896","P865398","10_C53","X552089","X552089"
"X551889","P865398","X552089","X552089","X552089"
"X551893","X551104","X551369","X551369","X551369"
"X551912","X551214","L002219","L002219","L002219"
"X551908","10_A17F","X552136",NA,"10_A17M"
"X551914","X551214","L002219","L002219","L002219"
"X551915","X551214","X552109","L002219","L002219"
"X551913","X551214","L002219","L002219","L002219"
"X551911","X552156","X552051","X552155","X552155"
"X551909","10_A17F","10_C54",NA,"10_A17M"
"X551910","10_A17F","X552093",NA,"10_A17M"
"X551907","X551214","L002219","L002219","L002219"
"X551902","X552042","L002095","L002095","L002095"
"X551906","X552141","X551416","X551416","X551416"
"X551904","X552141","X551416","X551416","X551416"
"X551903","X552049","10_C7","X552084","X552084"
"X551898","X552049","X552084","X552084","X552084"
"X551901","X552141","X551416","X551416","X551416"
"X551900","X552049","X552084","X552084","X552084"
"X551899","X552141","X551416","X551416","X551416"
"X551897","X552049","X552084","X552084","X552084"
"X551905","X552141","X551416","X551416","X551416"
"X551927","X552035","10_C55",NA,"10_A27M"
"X551928","X552035","10_C55",NA,"10_A27M"
"X551925","L002079","X552058","L002120","L002120"
"X551929","X552035","X552086",NA,"10_A27M"
"X551930","L002079","L002120","L002120","L002120"
"X551926","X552035","X552086",NA,"10_A27M"
"X551931","X552142","X552051","X552051","X552051"
"X551938","X551053","X551012","X551012","X551012"
"X551937","X551053","X551012","X551012","X551012"
"X551934","X552142","X552051","X552051","X552051"
"X551936","X552142","X552051","X552051","X552051"
"X551932","X551053","X551012","X551012","X551012"
"X551933","X552142","X552051","X552051","X552051"
"10_A30LT","X552142","X552051","X552051","X552051"
"X551935","X551053","X551012","X551012","X551012"
"X551923","X552049","10_C7","X552084","X552084"
"X551918","X552033","X552135","X552135","X552135"
"X551921","X552033","X552135","X552135","X552135"
"X551922","X552033","X552135","X552135","X552135"
"X551916","X552049","10_C7","X552084","X552084"
"X551917","X552033","X552135","X552135","X552135"
"X551924","X552049","X552084","X552084","X552084"
"X551919","X552033","X552135","X552135","X552135"
"X551920","X552049","X552084","X552084","X552084"
"L298614","L002316","X552100","X552100","X552100"
"L298616","L002316","X552100","X552100","X552100"
"L298612","P865398","X552089","X552089","X552089"
"L298617","L002316","X552100","X552100","X552100"
"L298609","P865398","X552089","X552089","X552089"
"L298611","L002316","X552100","X552100","X552100"
"L298613","P865398","X552089","X552089","X552089"
"L298618","P865398","X552089","X552089","X552089"
"L298615","L002316","X552100","X552100","X552100"
"L298610","L002316","X552100","X552100","X552100"
"L298623","L002174","L002123","L002123","L002123"
"L298624","L002174","L002123","L002123","L002123"
"L298621","X552149","X552125",NA,"10_54M"
"10_54LR","X552149","X552125",NA,"10_54M"
"L298619","X552149","X552125",NA,"10_54M"
"L298622","L002174","L002123","L002123","L002123"
"L298620","L002174","L002123","L002123","L002123"
"L298752","X552149","X552125",NA,"10_54M"
"L298625","X552046","X552133","X552127","X552127"
"10_54N","X552149","X552125",NA,"10_54M"
"L298628","P865470","X552091","X552091","X552091"
"L298629","L002154","X551416","X551416","X551416"
"L298633","L002154","X551416","X551416","X551416"
"L298635","L002154","X551416","X551416","X551416"
"L298630","P865470","X552091","X552091","X552091"
"L298632","P865470","X552091","X552091","X552091"
"L298627","P865470","X552091","X552091","X552091"
"L298626","L002154","X551416","X551416","X551416"
"L298634","X552152","X552086","X552086","X552086"
"L298631","L002154","X551416","X551416","X551416"
"L298638","X552134","X552123","X552136","X552136"
"L298636","X552134","X552123","X552136","X552136"
"L298644","L002173","X551351","X551351","X551351"
"L298643","X552134","X552123","X552136","X552136"
"L298639","L002173","X551351","X551351","X551351"
"L298642","L002173","X551351","X551351","X551351"
"L298641","X552134","X552123","X552136","X552136"
"L298645","L002173","X551351","X551351","X551351"
"L298646","L002173","X551351","X551351","X551351"
"L298640","L002173","X551351","X551351","X551351"
"L298637","L002067","L002136","L002136","L002136"
"L298653","X552151","10_C23","X552093","X552093"
"L298647","X552015","L002177","L002177","L002177"
"L298649","X552120","X552076","X552076","X552076"
"L298651","X552151","X552093","X552093","X552093"
"L298648","X552151","X552093","X552093","X552093"
"L298654","X552151","X552093","X552093","X552093"
"L298652","X552151","X552093","X552093","X552093"
"L298650","X552151","X552086","X552093","X552093"
"L298698","X552124","L002320","L002320","L002320"
"L298699","X552153","X552154","X552154","X552154"
"L298505","X552153","X552154","X552154","X552154"
"L298503","X552035","X552086",NA,"10_A27M"
"L298502","X552153","X552123","X552154","X552154"
"L298501","X552153","X552154","X552154","X552154"
"L298504","X552153","X552154","X552154","X552154"
"L298700","X552153","X552154","X552154","X552154"
"L298514","L002154","X551416","X551416","X551416"
"L298510","L002154","X551416","X551416","X551416"
"L298506","L002154","X551416","X551416","X551416"
"L298513","X552152","X552086","X552086","X552086"
"L298507","X552152","X552093","X552086","X552086"
"L298508","X552152","X552086","X552086","X552086"
"L298509","L002154","X551416","X551416","X551416"
"L298512","L002154","X551416","X551416","X551416"
"L298511","X552152","X552086","X552086","X552086"
"10_A28N","X552152","X552086","X552086","X552086"
"L298517","X552156","X552155","X552155","X552155"
"L298524","X552156","X552155","X552155","X552155"
"L298519","X551214","L002219","L002219","L002219"
