Code,Mum,Dad
D0419,*,*
XSXWG,*,*
XSXWB,*,*
D0059,*,*
XSXRG,*,*
D0096,*,*
D0097,*,*
XSXGR,*,*
XSXBW,*,*
XSXYG,*,*
D0098,*,*
XSXYR,*,*
XSW17,*,*
XSW11,*,*
D0099,*,*
XSRRW,*,*
XSRRG,*,*
XSRBW,*,*
D0100,*,*
XSR15,*,*
XSR13,*,*
XSWWG,*,*
Y1499,*,*
D0095,*,*
D0385,*,*
D0386,*,*
D0387,*,*
D0388,*,*
Y1890,*,*
D0389,*,*
Y1690,*,*
D0065,*,*
XSXWR,*,*
D0064,*,*
XSGGY,*,*
D0390,*,*
D0063,*,*
D0062,*,*
D0391,*,*
D0061,*,*
D0060,*,*
XSYYG,*,*
XSY02,*,*
XSXYW,*,*
Y1590,*,*
D0410,*,*
D0401,*,*
D0402,*,*
D0403,*,*
D0404,*,*
D0055,*,*
NANEA,*,*
D0405,*,*
D0406,*,*
D0407,*,*
XSR09,*,*
D0409,*,*
D0528,*,D0609
D0411,*,*
D0412,*,*
D0413,*,*
D0414,*,*
D0415,*,*
D0416,*,*
D0054,*,*
D0417,*,*
D0418,*,*
D0408,*,*
D0393,*,*
D0384,*,*
XSGGW,*,*
XSG65,*,*
XSG11,*,*
XSG07,*,*
XSBWR,*,*
XSBBR,*,*
D0101,*,*
D0102,*,*
D0400,*,*
D0103,*,*
D0399,*,*
D0104,*,*
XBLTH,*,*
D0058,*,*
D0057,*,*
D0056,*,*
D0394,*,*
D0395,*,*
D0555,*,*
D0397,*,*
XSGRY,*,*
D0392,*,*
D0069,*,*
D0076,*,*
D0348,*,*
D0349,*,*
D0350,*,*
D0351,*,*
D0352,*,*
D0353,*,*
D0354,*,*
D0355,*,*
D0358,*,*
D0077,*,*
D0075,*,*
D0078,*,*
D0079,*,*
D0068,*,*
D0080,*,*
D0081,*,*
D0082,*,*
D0083,*,*
D0067,*,*
Y2189,*,*
D0356,*,*
D0072,*,*
D0332,*,*
D0333,*,*
D0073,*,*
SLITE,*,*
D0334,*,*
D0335,*,*
D0336,*,*
D0337,*,*
D0338,*,*
CHU72,*,*
D0340,*,*
D0347,*,*
D0071,*,*
D0341,*,*
D0070,*,*
D0074,*,*
D0342,*,*
D0343,*,*
D0344,*,*
D0345,*,*
D0346,*,*
D0359,*,*
D0339,*,*
D0377,*,*
D0093,*,*
Y4390,*,*
Y4290,*,*
D0372,*,*
Y4090,*,*
D0373,*,*
Y3690,*,*
D0374,*,*
D0094,*,*
D0357,*,*
D0376,*,*
D0092,*,*
D0378,*,*
D0331,*,*
D0379,*,*
Y2693,*,*
D0380,*,*
D0381,*,*
D0382,*,*
D0383,*,*
D0398,*,*
D0375,*,*
D0086,*,*
D0360,*,*
D0361,*,*
D0362,*,*
D0363,*,*
D0364,*,*
D0365,*,*
D0366,*,*
NWS23,*,*
D0066,*,*
D0371,*,*
D0085,*,*
D0370,*,*
D0087,*,*
D0088,*,*
D0367,*,*
D0089,*,*
D0368,*,*
D0369,*,*
D0090,*,*
D0091,*,*
YEEYE,*,*
Y2193,*,*
D0084,*,*
D0487,*,*
D0119,*,*
MORFH,*,*
D0052,*,*
MOPRC,*,LIGHT
D0051,*,*
D0120,*,*
D0121,*,*
D0050,*,*
D0484,*,*
D0465,*,*
D0486,*,*
D0053,*,*
D0488,*,*
D0489,*,*
D0122,*,*
D0123,*,*
D0049,*,*
D0490,*,*
D0491,*,*
D0492,*,*
D0493,*,*
D0485,*,*
D0476,*,*
D0117,*,*
D0466,*,*
D0467,*,*
D0468,*,*
D0469,*,*
D0470,*,*
D0471,*,*
D0472,*,*
D0473,*,*
MORUN,KNO95,D0573
D0475,*,*
D0118,*,*
D0477,*,*
D0478,*,*
D0479,*,*
D0480,*,*
BLUFF,*,*
D0420,*,*
D0482,*,*
D0396,*,*
D0483,*,*
D0048,*,*
D0474,*,*
D0519,*,*
D0494,*,*
SPLAS,*,*
D0510,*,*
D0511,*,*
D0512,*,*
D0513,*,*
D0514,*,*
D0515,*,*
D0516,*,*
PINKH,*,*
D0518,*,*
D0509,*,*
D0047,*,*
D0520,*,*
D0521,*,*
D0522,*,*
D0523,*,*
D0524,*,*
D0525,*,*
D0526,*,DOC95
HALFE,KNO02,D0608
D0527,*,*
D0517,*,*
D0500,*,*
D0481,*,*
D0124,*,*
D0125,*,*
D0126,*,*
D0496,*,*
D0497,*,*
D0498,*,*
D0499,*,*
D0128,*,*
D0131,*,*
D0129,*,*
D0495,*,*
D0501,*,*
D0130,*,*
WDBOY,*,*
D0502,*,*
D0503,*,*
D0504,*,*
D0505,*,*
D0506,*,*
D0507,*,*
D0508,*,*
MOLIB,*,*
D0108,*,*
D0428,*,*
D0447,*,*
D0448,*,*
D0449,*,*
D0450,*,*
BREND,*,*
D0457,*,*
D0107,*,*
D0444,*,*
D0451,*,*
D0427,*,*
D0452,*,*
D0453,*,*
D0454,*,*
D0455,*,*
D0456,*,*
D0106,*,*
D0437,*,*
D0429,*,*
D0430,*,*
D0431,*,*
D0432,*,*
D0105,*,*
D0433,*,*
D0434,*,*
D0446,*,*
D0436,*,*
D0445,*,*
D0438,*,*
D0439,*,*
D0440,*,*
D0441,*,*
D0442,*,*
D0443,*,*
D0109,*,*
D0435,*,*
D0464,*,*
D0423,*,*
D0112,*,*
D0460,*,*
PHILL,*,*
D0461,*,*
D0458,*,*
D0459,*,*
D0462,*,*
D0463,*,*
D0111,*,*
D0115,*,*
D0116,*,*
D0422,*,*
D0421,*,*
D0426,*,*
D0114,*,*
D0110,*,*
D0425,*,*
D0424,*,*
D0113,*,*
DEVIL,*,*
FAISA,*,*
THORS,*,*
CRUSA,*,*
CAILL,*,*
MANFR,*,*
ARIST,*,*
PROFE,*,*
HEINS,*,*
EXTRA,*,*
ELGRE,*,*
BROWH,*,*
BENTS,*,*
SPREA,*,*
SDVIW,*,*
RTHOL,*,*
GLASS,*,*
BRBRO,*,*
OSSIA,*,*
CAESA,*,*
SOBHR,*,*
BULGY,*,*
OSCAR,*,*
BLTLE,*,*
MOMHI,*,*
SYMME,*,*
SHAMU,*,*
FANCY,*,*
RAVEL,*,*
FRICT,*,*
TWINK,*,*
MHOLE,*,*
UPRHI,*,*
LEOSS,*,*
COYHI,*,*
BILLS,*,*
TRICK,*,*
LLASS,*,*
RTNIC,*,*
VICTO,*,*
BAYLE,*,*
SPUDS,*,*
SORRY,*,*
MOARY,*,*
PRONG,*,*
MOWSP,*,*
SAMSS,*,*
NELSO,*,*
ROMUL,*,*
HUGOS,*,*
GREET,*,*
TIMSS,*,*
PINCS,*,*
CLEOP,*,*
REMUS,*,*
CECIL,*,*
BLIND,*,*
TRNRI,*,*
ETHEL,*,*
CHOCH,*,*
UNILE,*,*
THICK,*,*
TERLO,*,*
BUL65,BULGY,*
ROWAN,*,*
CASSI,*,*
NTRYL,*,*
HECTO,*,*
NRFTY,*,*
TRUBB,*,*
RECTO,*,*
INWAR,*,*
JASEN,*,*
MICKY,*,*
WILLS,*,*
WHEYE,*,*
MOM65,MOMHI,CRUSA
NICKS,*,*
TRIPO,*,*
WINKL,*,*
WINSS,*,*
FRITZ,*,*
TINYS,*,*
SAGGY,*,*
MIDGE,*,*
STARN,*,CRUSA
KINPO,*,*
BRLGS,*,*
BREAC,*,*
BRO66,BROWH,*
LIAMS,*,CRUSA
SLIMH,*,*
FERDI,*,*
RGRHI,*,*
PETES,*,*
FINGA,*,*
VAGRA,*,*
LOWSE,*,*
WDTYS,*,*
LKBEA,*,*
RGRIT,*,*
NIPSS,*,*
YTAGG,*,*
PROTE,*,*
DEARG,*,*
OTAGG,*,*
FEEDE,*,*
ELG66,*,*
CROTT,*,*
ALBER,*,*
CURLY,*,*
LTNCK,*,*
UPTUR,*,*
TUFTW,*,*
MHO67,MHOLE,CRUSA
CONGA,*,*
BLOSS,*,CRUSA
SCOLL,*,*
HAMIS,*,*
APRIC,*,*
GHILL,*,*
LTBRO,*,*
HUNCH,*,*
ELECT,*,*
BIGEA,*,*
TALLS,*,*
ADAMS,*,*
MOM67,MOMHI,*
HUMME,*,*
AMBER,*,*
TORMO,*,*
HEFTY,*,*
RTN67,RTNIC,*
MYRTL,*,*
LTFLH,*,*
LITLH,*,*
BUDDY,BROWH,*
TWIST,*,*
ACHIL,*,*
STUMP,*,*
BIGHE,*,*
GESTI,*,*
KELTI,*,*
KINDS,*,*
MOM68,MOMHI,*
ODDSS,*,*
BOSSS,*,CRUSA
YESTE,*,*
HIAWA,*,*
SOB68,SOBHR,*
SOOTY,*,*
ALTOS,*,*
NAMEL,*,*
ANGUS,*,*
POINT,*,*
SHARP,*,*
UPR68,UPRHI,CRUSA
SPIND,*,*
BLT68,BLTLE,*
HAGGI,*,*
MOGPI,*,*
ELG68,ELGRE,*
GRE68,GREET,THORS
CONAR,*,*
USHAS,*,*
PROCO,*,*
ANTEL,*,*
FIERC,*,*
BWBLS,*,*
ELSIV,*,*
LOLLY,*,*
LKCHU,*,*
RICKY,*,*
SOB69,SOBHR,*
GRE69,GREET,*
SWITC,*,*
VELVE,*,*
COLLE,OTAGG,*
GLA69,GLASS,CRUSA
REDYE,*,D0583
COOPE,*,*
RTWIS,*,*
COCKL,*,*
TRN69,TRNRI,CAESA
GIPSY,*,*
XSXGY,*,*
NIMRO,*,*
ENOCH,*,*
LTSPI,*,*
SIPAL,*,*
ALFRD,*,*
TOMSS,*,*
MOLIN,*,*
RTN69,RTNIC,CRUSA
MOM69,MOMHI,*
WHIGR,YTAGG,*
RGR69,RGRHI,FAISA
POLLU,BULGY,CRUSA
CAI69,CAILL,*
BLT69,BLTLE,CRUSA
BLUNT,*,*
FORKT,*,*
SPR70,SPREA,*
DICKS,*,THORS
JOKER,*,*
SEREN,*,*
FLICK,*,*
XSXGW,*,*
BRO70,BROWH,*
XSXRY,*,*
RTH70,RTHOL,*
LIT70,LITLH,*
XSRSY,*,*
MOL70,MOM65,*
SGA70,SGAOR,*
UPT70,UPTUR,D0576
PHANT,*,*
CLYDE,*,*
GRE70,GREET,*
MOA70,MOARY,D0576
FAMIL,*,*
SREDS,*,*
XSW70,*,*
JUNCU,*,THORS
FEE70,FEEDE,*
XSR63,*,*
BUL70,BULGY,THORS
BLO70,BLOSS,*
CRT70,CROTT,*
MAXIS,*,*
MAGNI,*,*
MHO70,MHOLE,*
SLIPP,D0527,D0572
CLE70,CLEOP,*
ORPHA,*,*
OTA70,OTAGG,*
CHO70,CHOCH,*
THI70,ELG66,*
SOB70,SOBHR,*
TRN70,TRNRI,*
CAI70,CAILL,HEINS
LTF70,LTFLH,*
GLA70,GLASS,*
ELG70,ELGRE,*
YTA70,YTAGG,*
IIIIS,*,*
SLM70,SLIMH,*
RGR70,RGRHI,*
BRANN,*,*
RTN70,RTNIC,*
TAL70,BRO66,FAISA
CLE71,CLEOP,*
MYR71,MYRTL,*
BST71,MHO67,*
BET71,BLT68,*
MHO71,MHOLE,*
YTA71,YTAGG,*
PASTO,*,*
SCO71,SCOLL,D0586
TAL71,BRO66,FAISA
VINCE,*,*
OTA71,OTAGG,*
RGR71,RGRHI,D0576
SPIKE,*,*
GROWT,*,*
MOW71,MOWSP,FAISA
GRE71,GREET,*
SLM71,SLIMH,*
WIN71,WINKL,*
PGB71,SOB68,*
X099H,*,*
BUL71,BULGY,CRUSA
MOM71,MOMHI,*
LTF71,LTFLH,*
KONKO,*,*
MOA71,MOARY,*
CRT71,CROTT,THORS
MAG71,MOM67,*
BLT71,BLTLE,*
CHO71,CHOCH,*
LITKN,*,*
CAI71,CAILL,*
MOL71,MOM65,*
STUBB,*,D0583
YHO71,GRE68,D0576
LOW71,LOWSE,*
SOB71,SOBHR,*
XSWSB,*,*
RTH71,RTHOL,*
NEWTS,*,*
SNARL,*,*
XTWSB,*,*
BRO71,BROWH,*
XWBSB,*,*
XWWSB,*,*
STULS,*,*
BILBO,*,*
SWEEP,*,*
UPT71,UPTUR,CECIL
X0TA1,*,*
XBLRT,*,*
XBWSB,*,*
CORKS,*,*
SPR71,SPREA,*
XRWSB,*,*
UPR71,UPRHI,CRUSA
FEE71,FEEDE,*
