Code,Mum,Dad
TURED,*,*
BLO77,BLOSS,*
THO77,YTA74,*
DAR77,BLT73,*
MAG77,MOM67,*
FOL77,MOD72,D0601
CHO77,CHOCH,*
MEL77,YHO71,SAGGY
UPT77,UPTUR,YESTE
COR77,RTN73,*
MAN77,MOM72,*
RTN77,RTNIC,*
USUAL,*,*
TER77,TRN72,*
JACKS,D0528,SLIPP
BAR77,UPR71,BOSSS
SIE77,LIT70,*
BUC77,BUL73,*
PRI77,PGB74,*
MIS77,THI73,*
LAS78,LLASS,*
BRF77,FEE71,STUBB
FIR77,BUL70,*
PRY77,WIN71,*
CHE77,BLT69,STARN
MOG77,*,BLT71
CAI77,CAILL,*
TRN77,TRNRI,*
GRC77,GRE72,*
CRT77,CROTT,MAXIS
KIL77,BUL71,*
TAL77,BRO66,D0586
OTA77,OTAGG,MAXIS
PLO77,TRN74,CONGA
SCO77,SCOLL,PHANT
KIN77,ROW73,*
BRA77,ELG68,*
JOS77,ELG71,*
BR277,BRO70,*
JUN77,BET73,*
GL377,GLA69,*
SLE77,THI72,*
RED77,REDYE,MAXIS
MOL77,MOM65,*
PIN77,TAL70,*
WHI77,WHIGR,*
BLC77,BLO72,*
WHE77,UPR74,BLT71
TOR77,TRN69,*
RGR77,RGRHI,*
ASP77,TOR72,STARN
PGB77,SOB68,*
CLE77,CLEOP,YESTE
TAC77,TAL73,*
TAB77,YTA73,*
YTA77,YTAGG,MAXIS
DOR77,YTA72,*
MOY77,UPR68,*
POL77,POLLU,SOLOM
CLC77,COL72,*
COB77,COL74,*
SEP77,CHO73,BOSSS
CAN77,WHI73,*
LTF77,LTFLH,BOSSS
FAG77,CHE73,*
FLY78,LTF74,*
THO78,YTA74,JUNCU
RFH78,MOR74,*
THI78,ELG66,*
RET78,RTN74,*
ADZ78,MOY74,*
DKPTH,*,*
BET78,BLT68,*
BR278,BRO70,*
FIR78,BUL70,*
NUC78,SCO74,*
BAR78,UPR71,*
NOB78,BUL65,YESTE
CIN78,BST73,MAXIS
M0686,*,*
SIC78,SICKT,*
HIC78,BLT75,*
DOR78,YTA72,JUNCU
AGA78,RTH72,*
YHO78,GRE68,*
BRC78,BRA72,*
M4887,*,*
OTA78,OTAGG,CORKS
MAC78,YHO74,*
LIM78,POL73,*
Y2984,*,*
CLC78,COL72,CRT72
SIE78,LIT70,*
ROW78,ROWAN,*
CAL78,MOL73,*
CHO78,CHOCH,*
LIT78,LITLH,*
YTA78,YTAGG,*
MAN78,MOM72,*
LTN78,LTNCK,*
RGR78,RGRHI,*
BLT78,BLTLE,*
LAP78,MOL75,*
TOR78,TRN69,BOSSS
ASP78,TOR72,*
BIG78,BIGHE,*
MOY78,UPR68,RGR69
WID78,MOW71,*
LTF78,LTFLH,*
CMO78,CMOFF,JUNCU
VIC78,APR74,*
PGB78,SOB68,*
DAM78,APR73,*
TAPLE,*,*
BLO78,BLOSS,YHO72
TEA78,TAL71,SAGGY
VER78,RGR71,MAXIS
JAN78,PJANE,*
TAC78,TAL73,*
PLIED,*,*
BITES,*,*
WEY78,WHEYE,*
KEL78,KELTI,*
PIN78,TAL70,MAXIS
JUN78,BET73,*
GL378,GLA69,*
SEP78,CHO73,CONAR
CHE78,BLT69,*
TAL78,BRO66,*
SCO78,SCOLL,SOO72
WHO78,MYR74,*
JOS78,ELG71,*
KIL78,BUL71,*
APR78,APRIC,*
KIN78,ROW73,*
PNK78,PINKH,*
MOS78,CRT74,MAXIS
LIB78,LIBRA,BLT71
MYT78,COC72,*
UPR78,UPRHI,CONAR
CUR78,UPT74,PHANT
LEN78,MOY73,*
CLM78,CLE74,*
COR78,RTN73,*
COL78,COLLE,MAXIS
WIN78,WINKL,*
Y1284,*,*
COT78,COL75,*
PRY78,WIN71,*
Y1584,*,*
Y1585,*,*
PEB78,PEBBL,*
TER78,TRN72,*
AXISS,*,GROWT
LIC78,CRT71,*
ASH78,ROW74,*
MIN78,WID74,*
UPT78,UPTUR,YESTE
COI79,COINH,*
CAN79,WHI73,*
PER79,LIT75,*
WHO79,MYR74,MAXIS
PLO79,TRN74,BOSSS
DUNOS,*,*
PHO79,FEE75,*
PRY79,WIN71,*
COT79,COL75,*
NOB79,BUL65,*
UPT79,UPTUR,MAXIS
ADZ79,MOY74,*
WHI79,WHIGR,*
MUS79,RED74,SCO71
RED79,REDYE,SCO71
TOR79,TRN69,*
MOP79,MOM68,*
MOL79,MOM65,BLT71
OTA79,OTAGG,*
COW79,PGB75,SCO71
MAW79,MOD74,BLT71
WHE79,UPR74,*
COL79,COLLE,SCO71
PRI79,PGB74,MAXIS
COC79,COCKL,*
YHO79,GRE68,*
VER79,RGR71,MAXIS
DAR79,BLT73,*
MEL79,YHO71,PHANT
MOY79,UPR68,*
CAR79,COC75,*
CLC79,COL72,*
WID79,MOW71,JUNCU
CLM79,CLE74,SCO71
MOC79,CHO75,*
QUA79,BR274,*
LTF79,LTFLH,*
TYS79,TOR75,*
DEC79,COY75,*
BAR79,UPR71,BOSSS
NUC79,SCO74,*
RAN79,YTA75,*
VIX79,LTF73,*
MAN79,MOM72,*
COB79,COL74,*
CAL79,MOL73,*
CLE79,CLEOP,*
MOG79,MOGPI,*
APR79,APRIC,*
POL79,POLLU,RGR72
BRF79,FEE71,MAXIS
CUR79,UPT74,*
FAG79,CHE73,SCO71
FORTS,*,CLE72
BLC79,BLO72,*
BUC79,BUL73,YESTE
KIL79,BUL71,SAGGY
SPEED,*,*
LAS79,LLASS,*
TIT79,CLE75,BLT71
FIR79,BUL70,*
HES79,CLC75,*
GRC79,GRE72,BOSSS
JOS79,ELG71,MAXIS
KIW79,BLO75,MAXIS
LIT79,LITLH,BLT71
TOPIS,*,*
KEL79,KELTI,*
KIN79,ROW73,*
SCO79,SCOLL,*
TAC79,TAL73,*
BON79,TBONE,*
LIC79,CRT71,*
SIE79,MEL75,*
BOT79,GL375,BLT71
TER79,TRN72,BOSSS
SNI79,GRE73,*
SIL79,LIT70,*
CRT79,CROTT,*
RGR79,RGRHI,*
BRA79,ELG68,*
CRA80,BIG76,*
MOC80,CHO75,*
ASH80,ROW74,*
DAM80,APR73,*
BIG80,BIGHE,*
COB80,COL74,WHI72
VIX80,LTF73,*
KIN80,ROW73,*
THO80,YTA74,PHANT
KIL80,BUL71,*
MAN80,MOM72,*
FLY80,LTF74,*
TER80,TRN72,BOSSS
FOL80,MOD72,*
PRY80,WIN71,*
CUR80,UPT74,*
UPT80,UPTUR,*
SAF80,CRT76,LTNIK
UMB80,MEL76,LTNIK
COL80,COLLE,PHANT
VER80,RGR71,CRT72
CFU80,CMO77,*
TEA80,TAL71,MAXIS
TAN80,THI76,*
COR80,RTN73,*
COW80,PGB75,RED72
PRI80,PGB74,*
ASP80,TOR72,*
BON80,TBONE,*
PEC80,SCO76,*
HES80,CLC75,RED72
BRC80,BRA72,*
SIC80,SICKT,*
HIC80,BLT75,MAG72
NON80,NOB76,*
CLE80,CLEOP,*
BLC80,BLO72,*
YEY80,YEEYE,*
NECKS,*,*
YTA80,YTAGG,*
CLC80,COL72,RED72
CIN80,BST73,WHI72
ADZ80,MOY74,*
BRA80,ELG68,*
SLI80,SLE76,*
OTA80,OTAGG,*
BR280,BRO70,*
SIE80,MEL75,*
PGB80,SOB68,*
WAX80,WHI76,CLE72
GL380,GLA69,SOO72
PIN80,TAL70,*
THR80,PGB76,RED72
JUN80,BET73,*
VIC80,APR74,CLE72
MOP80,MOM68,*
MOS80,CRT74,MAXIS
Y1386,*,*
SEP80,CHO73,*
ALM80,APR75,*
WIG80,TEA76,*
JAN80,PJANE,*
JAM80,APR76,*
BLO80,BLOSS,*
HAR80,MOY76,*
MYT80,COC72,*
CLM80,CLE74,CRT72
CHE80,BLT69,SOO72
PHO80,FEE75,*
RGR80,RGRHI,*
LIM80,POL73,MAXIS
MAG80,MOM67,*
CAN80,WHI73,CLE72
CRE80,CLE76,PHANT
DOR80,YTA72,*
BET80,BLT68,*
MAC80,YHO74,*
TRA80,GRC76,*
BAR80,UPR71,RGR72
BUR80,BURNE,*
LOG80,BRA77,*
TRN80,TRNRI,*
LTN80,LTNCK,*
TOR80,TRN69,*
QUA81,BR274,*
NUC81,SCO74,*
COI81,COINH,*
COC81,COCKL,*
LAM81,CMO78,CRT72
LAP81,MOL75,CLE72
TAN81,THI76,*
WEE81,WHE77,*
FOSSI,*,*
BRA81,ELG68,RED72
BIS81,CIN76,*
RGR81,RGRHI,*
Y1688,*,*
BON81,TBONE,*
CAN81,WHI73,CLE72
JUN81,BET73,CORKS
CLD81,CLE77,*
GAL81,POL77,BRF74
M3491,*,*
ASH81,ROW74,*
WHI81,WHIGR,*
PEC81,SCO76,CORKS
WAVYS,*,SOB70
KIL81,BUL71,*
APR81,APRIC,*
TIT81,CLE75,*
SIE81,LIT70,*
DEC81,COY75,RED72
KIN81,ROW73,*
SCO81,SCOLL,PHANT
YEY81,YEEYE,*
CHE81,BLT69,*
LIT81,LITLH,*
CHEST,D0528,JUNCU
ROYAL,*,*
KIP81,WID78,*
CLE81,CLEOP,*
SNI81,GRE73,*
M2191,*,*
AVO81,UPT78,*
KEL81,KELTI,*
PRI81,PGB74,*
VER81,RGR71,MAXIS
HIC81,BLT75,RED73
FAG81,CHE73,*
SYL81,SLE77,*
KIW81,BLO75,*
CAR81,COC75,*
MUS81,RED74,CORKS
RAN81,YTA75,*
POL81,POLLU,MAG72
FIR81,BUL70,*
CRT81,CROTT,*
LIGHT,*,*
COR81,RTN73,TRN73
MOY81,UPR68,*
GRC81,GRE72,MYR72
OST81,COC76,*
LIB81,LIBRA,*
BLC81,BLO72,GROWT
CLC81,COL72,*
PGB81,SOB68,*
TUR81,MUS77,*
ADZ81,MOY74,*
TYS81,TOR75,TRN73
EIF81,COT78,WHI72
MAC81,YHO74,*
WID81,MOW71,*
PRY81,WIN71,*
CRA81,BIG76,GROWT
HAR81,MOY76,*
RED81,REDYE,BAR75
WIG81,TEA76,PHANT
TRA81,GRC76,PHANT
MAW81,MOD74,GROWT
OTA81,OTAGG,CRT72
THO81,YTA74,CLE72
SLI81,SLE76,*
PER81,LIT75,*
BR281,BRO70,WHI72
JAN81,PJANE,*
BOT81,GL375,TRN73
LEN81,MOY73,PHANT
NEL81,JOS77,*
WHO81,MYR74,TER75
JOS81,ELG71,*
BRF81,FEE71,*
FOL81,MOD72,YHO72
BUC81,BUL73,YHO72
CUR81,UPT74,MAXIS
BAR81,UPR71,BOSSS
COP81,COI77,*
IBI81,UPT77,MAXIS
BLIPS,*,*
BRF82,FEE71,TAMEG
BAR82,UPR71,GROWT
JOS82,ELG71,*
SPNDL,*,*
LUZ82,DOR78,MAXIS
CAL82,CIN78,PHANT
CHE82,BLT69,CRT72
NIBSI,D0525,CHE75
MOS82,CRT74,PHANT
BLO82,BLOSS,TRN73
Y1488,*,*
LIZ82,LTF77,TOR74
WHI82,WHIGR,COY76
JAN82,PJANE,*
PLO82,TRN74,GROWT
CAN82,WHI73,*
NON82,NOB76,LTNIK
WAX82,WHI76,*
STU82,STURD,*
HES82,CLC75,*
WHA82,CUR78,*
LOB82,TOR78,GROWT
MOY82,UPR68,BLT71
FID82,VER78,CRT72
WEE82,WHE77,BLT71
KIN82,ROW73,*
WHE82,UPR74,*
PEC82,SCO76,MAXIS
BRC82,BRA72,LIKEC
JUN82,BET73,SOO72
BLC82,BLO72,TRN73
RHY82,MOS78,PHANT
ALM82,APR75,*
HAR82,MOY76,TAL75
MYT82,COC72,*
GL382,GLA69,BLT71
SEP82,CHO73,BLT71
RAN82,YTA75,D0605
CLM82,CLE74,PHANT
LOG82,BRA77,*
CAP82,SNI77,NRSWI
TIT82,CLE75,PHANT
LIM82,POL73,*
MEL82,YHO71,*
BON82,TBONE,*
AGA82,RTH72,*
IBI82,UPT77,MAXIS
UPT82,UPTUR,CRT72
SKA82,LIB78,WHI72
AVO82,UPT78,CLE72
CIN82,BST73,SCO75
PRI82,PGB74,PHANT
DAR82,BLT73,PHANT
SAF82,CRT76,CLE72
CONFI,*,BUL72
ASP82,TOR72,BLT71
M3291,*,*
COL82,COLLE,D0570
HIC82,BLT75,YHO72
FLY82,LTF74,*
SLITS,*,CHE75
THO82,YTA74,D0578
CRE82,CLE76,PHANT
MAN82,MOM72,*
DAM82,APR73,*
MAX82,COL78,PHANT
THR82,PGB76,*
BUC82,BUL73,LTNIK
CRA82,BIG76,SOO72
CLA82,CLE77,PHANT
UMB82,MEL76,PHANT
TYS82,TOR75,TAL75
ADZ82,MOY74,*
PRY82,WIN71,*
LIB82,LIBRA,*
LENOT,*,OTA76
CLC82,COL72,*
RED82,REDYE,D0578
STOBS,*,*
KIL82,BUL71,UPR72
LIT82,LITLH,*
PNK82,PINKH,*
VIX82,LTF73,*
DOR82,YTA72,LIT76
TWI82,BRA79,*
SIE82,MEL75,LIKEC
QUI82,MEL77,CRT72
POL82,POLLU,*
MOC82,CHO75,*
SYL82,SLE77,*
VER82,RGR71,CRT72
M1791,*,*
COB82,COL74,*
SIL82,LIT70,*
FRE82,THO78,*
CFU82,CMO77,BLT71
TEA82,TAL71,LTNIK
OXL83,PRI79,D0578
CRY83,CLC79,*
ELF83,CLC78,LIC74
BOT83,GL375,*
NUC83,SCO74,*
CAN83,WHI73,*
OCH83,SAF80,YELLO
OST83,COC76,*
Y2888,*,*
OTA83,OTAGG,*
YECOA,*,*
PAR83,COW79,LTNIK
FAN83,COL80,*
MUS83,RED74,NRSWI
DSA97,*,LIKEC
NOTCH,*,*
Y4690,*,*
HIC83,BLT75,TER75
CRUMP,*,*
IDU83,THO80,*
IBI83,UPT77,*
TRA83,GRC76,LTNIK
SPE83,SPEED,*
HES83,CLC75,*
NIC83,COT79,LIKEC
PEE83,PLO77,*
BON83,TBONE,*
DOR83,YTA72,LIKEC
ZEB83,ZEBRA,*
CLA83,CLE77,LIC74
ILL83,DEC79,*
INI83,VER79,LIT74
CLC83,COL72,D0578
SME83,TEA78,*
ADZ83,MOY74,*
SIS83,SIC78,*
PAT83,LIM78,*
SIE83,LIT70,*
SOR83,ROW77,*
FRE83,THO78,D0570
PRI83,PGB74,MAG72
ASP83,TOR72,SOO72
FLA83,UPT79,YELLO
SAF83,CRT76,LIC74
CAR83,COC75,*
LAP83,MOL75,D0605
LAM83,CMO78,OTC76
COI83,COINH,*
FIR83,BUL70,*
GEM83,POL79,BST74
QUA83,BR274,*
PRK83,OTA78,SOO72
COB83,COL74,*
TUR83,MUS77,*
VER83,RGR71,TER75
FUL83,MAW79,GROWT
PNY83,THR80,*
KIL83,BUL71,TER75
AQU83,COB80,*
FID83,VER78,OTC76
GAL83,POL77,LTNIK
COC83,COCKL,*
MAD83,BOT79,*
THORN,*,*
THO83,YTA74,*
MAN83,MOM72,TOR74
CRK83,KIN77,*
MAW83,MOD74,GROWT
CRA83,BIG76,RED77
FLY83,LTF74,NRSWI
THR83,PGB76,*
TER83,TRN72,GROWT
AVO83,UPT78,CHE75
UMB83,MEL76,OTC76
COP83,COI77,*
LIB83,LIBRA,*
MAC83,YHO74,NRSWI
LENNY,DHA94,*
LEN83,MOY73,GROWT
BUC83,BUL73,TER75
CUR83,UPT74,NRSWI
MEL83,YHO71,RED73
FOL83,MOD72,GROWT
LIM83,POL73,LTNIK
SYL83,SLE77,*
TYS83,TOR75,GROWT
PGB83,SOB68,MASSI
WHA83,CUR78,LIC74
WHE83,UPR74,UPR72
JUG83,BRF79,NRSWI
PIB83,*,*
MOS83,CRT74,TOR74
WHO83,MYR74,*
WHS83,BAR79,GROWT
BIS83,CIN76,LIKEC
SEP83,CHO73,GROWT
JOW83,WID79,*
BLC83,BLO72,*
GRC83,GRE72,*
LOB83,TOR78,*
WID83,MOW71,*
NON83,NOB76,TER75
WIG83,TEA76,RED73
PET83,FAG79,NRSWI
MUR83,COL79,*
BAR83,UPR71,GROWT
SCO83,SCOLL,*
WEE83,WHE77,UPR72
WAX83,WHI76,*
RAN83,YTA75,*
MOL83,MOM65,*
WAN83,WAX80,BRF77
PIN83,TAL70,LIC74
LIZ83,LTF77,GROWT
MYT84,COC72,*
KEL84,KELTI,*
KIL84,BUL71,*
CLM84,CLE74,NRSWI
GRC84,GRE72,*
CUC84,UMB80,RED77
ELF84,CLC78,*
LEN84,MOY73,*
FLY84,LTF74,*
HAR84,MOY76,SCO75
LOB84,TOR78,TAL75
MEL84,YHO71,LTNIK
CRA84,BIG76,TER75
MAX84,COL78,SEP78
GAL84,POL77,RED77
CRE84,CLE76,LTNIK
OTA84,OTAGG,*
GEM84,POL79,RED77
DAM84,APR73,*
MUR84,COL79,*
MUS84,RED74,OTA76
FID84,VER78,*
NIC84,COT79,*
CROSS,*,*
COB84,COL74,*
OCC84,CLC80,*
LUZ84,DOR78,*
LAM84,CMO78,ROCKY
HIC84,BLT75,TER75
EOL84,CAN80,*
JUN84,BET73,LTNIK
LAP84,MOL75,*
JUG84,BRF79,*
ILE84,CHE80,TER75
LOG84,BRA77,*
IDU84,THO80,OTA76
FLA84,UPT79,*
CWR84,LIM80,*
NON84,NOB76,TER75
HES84,CLC75,*
KIW84,BLO75,*
JAN84,PJANE,*
MOC84,CHO75,LTNIK
IBI84,UPT77,TOR76
CRY84,CLC79,*
CUR84,UPT74,RED77
FOL84,MOD72,RED77
KIP84,WID78,*
KINLQ,*,*
JOW84,WID79,LTNIK
POL84,POLLU,RED77
WHE84,UPR74,MASSI
CAN84,WHI73,*
THR84,PGB76,*
BRNCH,*,ROCKY
CAL84,CIN78,LTNIK
THO84,YTA74,YHO76
SCI84,BLO80,*
RED84,REDYE,*
CAP84,SNI77,LTNIK
PRI84,PGB74,*
SOR84,ROW77,NOB78
TRA84,GRC76,NRSWI
WID84,MOW71,*
Y4091,*,*
BAR84,UPR71,BET76
TEL84,PEC81,*
WHS84,BAR79,FLINT
PLU84,DAM78,D0556
BLC84,BLO72,*
TER84,TRN72,FLINT
SMI84,SMILE,*
ALM84,APR75,*
TWI84,BRA79,*
WOO84,HES80,*
BOT84,GL375,TAL75
SLT84,ALM80,D0556
CAR84,COC75,*
QUA84,BR274,*
PEN84,BAR80,MASSI
PEP84,MUS81,*
SME84,TEA78,LTNIK
RHY84,MOS78,SEP77
CFU84,CMO77,LIKEC
SIE84,LIT70,*
VIX84,LTF73,*
RAN84,YTA75,*
TYS84,TOR75,YTA77
WISPS,*,*
TIT84,CLE75,LTNIK
SEP84,CHO73,LIT79
PEC84,SCO76,*
BIL84,WHO79,LTNIK
AGA84,RTH72,*
WEE84,WHE77,TAL75
BCL84,BUC81,FOL77
CHE84,BLT69,TER75
BUC84,BUL73,TER75
WHA84,CUR78,TRN77
BUN84,LAP81,*
VER84,RGR71,YELLO
BIGPA,*,*
AVO84,UPT78,ROCKY
ADZ84,MOY74,*
PLO84,TRN74,RED77
PRY84,WIN71,*
SYL84,SLE77,*
WAX84,WHI76,*
SUL84,TER80,RED77
SAF84,CRT76,*
STU84,STURD,*
UMB84,MEL76,LTNIK
ROS84,PNK78,*
BIS84,CIN76,SEP78
BARBE,*,*
OXL84,PRI79,*
JAN85,PJANE,*
CAP85,SNI77,*
LIB85,LIBRA,*
FEA85,PLO82,TRN77
CUC85,UMB80,*
RAN85,YTA75,*
FAN85,COL80,TAMEG
JEM85,JAN80,*
EXO85,AVO82,*
LUZ85,DOR78,*
BUC85,BUL73,*
LEN85,MOY73,*
BUN85,LAP81,*
M3493,*,*
M3293,*,*
CAR85,COC75,*
WOO85,HES80,*
ROS85,PNK78,*
BUSTE,*,*
FID85,VER78,QUINS
TIG85,OTA80,QUINS
CLM85,CLE74,*
NON85,NOB76,FOL77
SIE85,LIT70,*
PEN85,BAR80,ASP77
SKA85,LIB78,LIKEC
DOR85,YTA72,OTA76
JUG85,BRF79,TOR76
COI85,COINH,*
SIS85,SIC78,*
INI85,VER79,*
CFU85,CMO77,ROCKY
LIM85,POL73,TRN77
WAN85,WAX80,*
PEP85,MUS81,OTA76
TOP85,YEY80,RED77
WIG85,TEA76,LTNIK
WID85,MOW71,ROCKY
BAR85,UPR71,RED77
PET85,FAG79,BET76
MOC85,CHO75,MASSI
PNY85,THR80,*
ATH85,THO81,*
LOG85,BRA77,*
QUA85,BR274,*
LOB85,TOR78,RED77
WHS85,BAR79,RED77
PLU85,DAM78,*
WHO85,MYR74,*
CUR85,UPT74,TRN77
LAP85,MOL75,*
APN85,ASP78,*
SAF85,CRT76,BET76
PGB85,SOB68,*
MUS85,RED74,BRF76
WAX85,WHI76,BRF76
COB85,COL74,*
KIW85,BLO75,KIL76
JOW85,WID79,*
CAN85,WHI73,*
PIB85,PIBRO,*
BRI85,BRA81,*
MOS85,CRT74,*
AQU85,COB80,*
RIMSS,*,*
JOA85,JAN82,*
CAL85,CIN78,TAMEG
SCO85,SCOLL,*
SCI85,BLO80,*
MUR85,COL79,BET76
KIL85,BUL71,*
WEE85,WHE77,MASSI
TUR85,MUS77,OTA76
M3695,*,*
JUN85,BET73,ROCKY
STU85,STURD,*
CLA85,CLE77,LTNIK
BLC85,BLO72,*
MAN85,MOM72,RED77
Y2892,*,*
GRC85,GRE72,TER75
FRE85,THO78,*
NUC85,SCO74,*
Y2592,*,*
CRA85,BIG76,FLINT
SUL85,TER80,RED77
PRI85,PGB74,*
FLA85,UPT79,*
CRE85,CLE76,*
BNY85,BON81,*
AVO85,UPT78,ROCKY
VER85,RGR71,TRN77
Y3691,*,*
MAW85,MOD74,FLINT
MAX85,COL78,TRN77
TER85,TRN72,MEL79
HAR85,MOY76,YTA77
BLO85,BLOSS,*
TEL85,PEC81,*
COP85,COI77,*
PAR85,COW79,*
FIS85,CRA81,RED77
TYS85,TOR75,*
OCC85,CLC80,*
THR85,PGB76,*
Y4990,*,*
CLC85,COL72,OTA76
Y3291,*,*
OCH85,SAF80,LIKEC
MAD85,BOT79,*
PEC85,SCO76,ROCKY
CID85,PRY82,*
ZEB85,ZEBRA,*
OXL85,PRI79,*
OST85,COC76,*
TWI85,BRA79,BRF76
SMI85,SMILE,*
MAC85,YHO74,OTA76
ADZ85,MOY74,TER75
UMB85,MEL76,TRN77
GEM85,POL79,*
BIL85,WHO79,SCO77
OTA85,OTAGG,*
M4094,*,*
BOT85,GL375,*
GAL85,POL77,TAMEG
PRY85,WIN71,*
FIL85,EIF81,*
FUL85,MAW79,MASSI
HIC85,BLT75,TER75
M3894,*,*
PRI86,PGB74,*
LAM86,CMO78,ROCKY
CRA86,BIG76,RED79
DUNST,D0528,*
LOG86,BRA77,*
FOL86,MOD72,RED77
TRA86,GRC76,SEP77
RHY86,MOS78,YELLO
MOO86,MOY82,RED77
PAP86,CAL82,ROCKY
GAL86,POL77,ROCKY
DOD86,IBI83,*
BCL86,BUC81,LTNIK
TOP86,YEY80,*
WAN86,WAX80,BRF76
SUR86,THO82,OTA76
CRY86,CLC79,*
AVO86,UPT78,*
PLO86,TRN74,*
DKP86,DKPTH,*
AGA86,RTH72,*
TRK86,UPT82,*
DUI86,DOR82,*
SUL86,TER80,*
PGB86,SOB68,*
WAX86,WHI76,*
CLC86,COL72,*
FUL86,MAW79,MASSI
LOB86,TOR78,MASSI
CWR86,LIM80,TER75
WHE86,UPR74,*
BUC86,BUL73,LTNIK
CUK86,CLC82,*
LIZ86,LTF77,KIL76
WHA86,CUR78,OTC76
GRIST,*,CPBPT
MEL86,YHO71,OTA76
FLY86,LTF74,MASSI
HES86,CLC75,*
Y1993,*,*
ANK86,KIL82,*
BNY86,BON81,*
NON86,NOB76,YTA77
FAN86,COL80,VER81
LUC86,NUC81,*
LUZ86,DOR78,YELLO
QUA86,BR274,*
Y2392,*,*
TEL86,PEC81,*
VIX86,LTF73,KIL76
COB86,COL74,*
EOL86,CAN80,D0591
FLA86,UPT79,*
JAN86,PJANE,*
SLT86,ALM80,TOR76
ALM86,APR75,*
WOO86,HES80,*
FIL86,EIF81,BRF76
FID86,VER78,SEP77
CLIFF,*,*
FEN86,RED82,BET76
TIB86,BON82,*
PEC86,SCO76,*
INI86,VER79,OTC76
TWI86,BRA79,*
SME86,TEA78,*
PUZ86,*,*
RON86,MAC83,RED79
ILE86,CHE80,LTNIK
Y2493,*,*
TIG86,OTA80,*
DAN86,BUC82,LTNIK
AQU86,COB80,*
PEN86,BAR80,RED77
SAT86,CLM82,*
AMA86,ALM82,*
SPE86,SPEED,*
THO86,YTA74,YELLO
SES86,HAR82,*
PAR86,COW79,*
SEP86,CHO73,*
THR86,PGB76,*
CFI86,CFU82,*
CAN86,WHI73,*
PEP86,MUS81,BRF76
Y3192,*,*
SOR86,ROW77,*
COB87,COL74,*
MEL87,YHO71,AXISS
LIZ87,LTF77,*
COP87,COI77,*
CRA87,BIG76,LIT76
TYS87,TOR75,RED77
CAL87,CIN78,ROCKY
UPROA,*,*
LOG87,BRA77,*
TUR87,MUS77,OTA76
AVO87,UPT78,TEA80
BAN87,FRE83,*
LOB87,TOR78,RED77
BCL87,BUC81,RED79
PTN87,LIM83,CRE80
APN87,ASP78,LIT76
ATH87,THO81,OTA76
TURKS,*,*
AQU87,COB80,*
PLU87,DAM78,*
MAR87,MAW83,FLINT
CCO87,LAM83,D0556
WAN87,WAX80,*
DAN87,BUC82,*
RAI87,SLT84,VIC80
KIW87,BLO75,D0579
CFU87,CMO77,ROCKY
MNX87,FUL83,KIW79
MAD87,BOT79,FLINT
CAN87,WHI73,BRF76
MAC87,YHO74,*
PRI87,PGB74,*
UMB87,MEL76,CPBPT
PNY87,THR80,*
LUZ87,DOR78,*
QUA87,BR274,*
Y3592,*,*
TEL87,PEC81,FORTS
MON87,COI83,*
Y3292,*,*
JAN87,PJANE,*
SES87,HAR82,YTA77
FAD87,CRK83,*
JEM87,JAN80,*
HAL87,TUR83,OTA76
BLOGG,*,*
MUR87,COL79,D0556
SEP87,CHO73,CUR81
ANK87,KIL82,YTA77
JOSHS,*,*
JOW87,WID79,*
JUG87,BRF79,OTA76
CLC87,COL72,BRF76
SOFTS,*,*
MUS87,RED74,OTA76
FAN87,COL80,KIW79
SCI87,BLO80,RED77
OPE87,SKA82,*
PAP87,CAL82,ROCKY
FID87,VER78,RED79
NON87,NOB76,AXISS
BNY87,BON81,*
Y1493,*,*
SMI87,SMILE,*
SME87,TEA78,RED79
FLA87,UPT79,OTA76
SLT87,ALM80,*
PEC87,SCO76,*
PAR87,COW79,*
OCH87,SAF80,BITES
FIE87,SIE82,D0559
FEA87,PLO82,RED77
WOO87,HES80,*
PEL87,MOS83,SCO78
FLO87,COI81,*
SKA87,LIB78,D0579
PEN87,BAR80,RED77
ILE87,CHE80,TER75
SIS87,SIC78,*
INI87,VER79,RED79
THO87,YTA74,BAR82
BLC87,BLO72,*
OAT87,BAR83,RED77
CUK87,CLC82,*
CLA87,CLE77,D0559
FRE87,THO78,BRF76
LAZYS,*,*
BRI87,BRA81,*
CHI87,PGB83,*
WHA87,CUR78,AXISS
SUR87,THO82,VIC80
S1091,*,*
DUN87,WHA83,BITES
WEE87,WHE77,*
CWR87,LIM80,CRE80
TRK87,UPT82,ROCKY
OXL87,PRI79,*
GEM87,POL79,LEN83
PIB87,PIBRO,*
CUC87,UMB80,SEP77
BUC87,BUL73,YTA77
ZEB87,ZEBRA,*
BUCKS,*,*
GAL87,POL77,YTA77
FUL87,MAW79,MEL79
WIG87,TEA76,*
SAT87,CLM82,*
KIP87,WID78,*
MUL87,LOG84,*
STRIK,*,*
TOU87,CAN82,RED79
DUI87,DOR82,BRF76
STRIS,*,*
SAF87,CRT76,*
PET87,FAG79,BITES
TRA87,GRC76,*
ECL87,WAN83,*
WHS87,BAR79,YTA77
WHO87,MYR74,*
SUL87,TER80,RED77
AGA87,RTH72,*
LAM87,CMO78,MUS79
EBO87,PET83,ROCKY
FOL88,MOD72,RED77
SUL88,TER80,SAF82
SWI88,TER83,OTC76
