"animal","dam","sire"
"S955932",NA,NA
"D518595",NA,NA
"18_142F",NA,NA
"S955609",NA,NA
"S955955",NA,NA
"S955921",NA,NA
"S955913",NA,NA
"D518521",NA,NA
"S955630",NA,NA
"S955653",NA,NA
"S955923",NA,NA
"X552497",NA,NA
"S955948",NA,NA
"S955942",NA,NA
"18_76F",NA,NA
"S955621",NA,NA
"D518575",NA,NA
"S955920",NA,NA
"S955611",NA,NA
"18_A46F",NA,NA
"S955912",NA,NA
"D518536",NA,NA
"S955945",NA,NA
"S955915",NA,NA
"S955960",NA,NA
"S955925",NA,NA
"S955952",NA,NA
"S955964",NA,NA
"X552493",NA,NA
"18_A45F",NA,NA
"S955958",NA,NA
"D518559",NA,NA
"S955613",NA,NA
"S955917",NA,NA
"S955926",NA,NA
"18_137F",NA,NA
"S955661",NA,NA
"S955946",NA,NA
"18_A13F",NA,NA
"S955931",NA,NA
"S955632",NA,NA
"S955951",NA,NA
"18_113F",NA,NA
"S955641",NA,NA
"X552438",NA,NA
"S955639",NA,NA
"S955924",NA,NA
"18_98F",NA,NA
"18_163F",NA,NA
"S955944",NA,NA
"S955642",NA,NA
"X552487",NA,NA
"S955967",NA,NA
"S955966",NA,NA
"S955619",NA,NA
"S955937",NA,NA
"18_A18F",NA,NA
"S955953",NA,NA
"S955969",NA,NA
"S955965",NA,NA
"S955656",NA,NA
"S955975",NA,NA
"D518585",NA,NA
"D518530",NA,NA
"S955658",NA,NA
"S955972",NA,NA
"S955973",NA,NA
"S955665",NA,NA
"18_149F",NA,NA
"S955977",NA,NA
"X552309",NA,NA
"X552410",NA,NA
"X552417",NA,NA
"X552398",NA,NA
"X552274",NA,NA
"X552344",NA,NA
"X552204",NA,NA
"L852019",NA,NA
"X552175",NA,NA
"X552257",NA,NA
"X552414",NA,NA
"X552380",NA,NA
"X552403",NA,NA
"13_116F",NA,NA
"X552407",NA,NA
"X552416",NA,NA
"X552409",NA,NA
"X552388",NA,NA
"X552413",NA,NA
"L852157",NA,NA
"D226007",NA,NA
"13_A28F",NA,NA
"X552392",NA,NA
"L002176",NA,NA
"L852185",NA,NA
"X552415",NA,NA
"X552408",NA,NA
"L002146",NA,NA
"X552421",NA,NA
"14_A27F",NA,NA
"X552297",NA,NA
"X552291",NA,NA
"X552446",NA,NA
"X552320",NA,NA
"X552362",NA,NA
"14_A18F",NA,NA
"X552435",NA,NA
"X552426",NA,NA
"X552305",NA,NA
"X552422",NA,NA
"X552342",NA,NA
"X552428",NA,NA
"X552370",NA,NA
"X552464",NA,NA
"L002174",NA,NA
"X552430",NA,NA
"X552183",NA,NA
"X552182",NA,NA
"X552466",NA,NA
"X552454",NA,NA
"X552314",NA,NA
"X552433",NA,NA
"X552460",NA,NA
"X552436",NA,NA
"X552366",NA,NA
"X552425",NA,NA
