"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","DamCohort"
"1",3,0.0511,0.576171875,0,-0.0282208336663073,0.0310091509776855,127,37,1,90
"2",0,0.0511,0.3271484375,0,-0.0282208336663042,0.0310091509776821,128,37,1,90
"3",0,0.0226,0.517578125,0,-0.0282208336663041,0.031009150977677,129,5,1,9
"4",0,0.0226,0.517578125,1,-0.0282208336663041,0.0310091509776769,130,5,1,9
"5",0,0.0204,0.5380859375,0,-0.0282208336663041,0.0310091509776769,131,5,1,9
"6",0,0.0226,0.517578125,1,-0.0282208336663041,0.0310091509776769,132,5,1,9
"7",0,0.0664,0.2578125,0,-0.0282208336663041,0.0310091509776769,133,27,1,70
"8",0,0.0485,0.458984375,0,-0.0282208336663041,0.0310091509776769,134,27,1,70
"9",0,0.0485,0.458984375,1,-0.0282208336663041,0.0310091509776769,135,27,1,70
"10",0,0.0485,0.458984375,0,-0.0282208336663041,0.0310091509776769,136,27,1,70
"11",0,0.0713,0.48046875,1,-0.0282208336663041,0.0310091509776769,137,3,1,7
"12",0,0.0713,0.48046875,1,-0.0282208336663041,0.0310091509776769,138,3,1,7
"13",0,0.0738,0.3603515625,0,-0.0282208336663041,0.0310091509776769,139,18,1,42
"14",0,0.0738,0.3603515625,0,-0.0282208336663041,0.0310091509776769,140,18,1,42
"15",0,0.0342,0.56640625,0,-0.0282208336663041,0.0310091509776769,141,2,1,3
"16",1,0.0312,0.375,1,-0.0282208336663041,0.0310091509776769,142,2,1,3
"17",0,0.0342,0.56640625,0,-0.0282208336663041,0.0310091509776769,143,2,1,3
"18",0,0.0597,0.33154296875,0,-0.0282208336663041,0.0310091509776769,144,104,1,238
"19",0,0.0215,0.3671875,0,-0.0282208336663041,0.0310091509776769,145,104,1,238
"20",0,0.0342,0.56640625,0,-0.0282208336663041,0.0310091509776769,146,1,1,1
"21",0,0.0489,0.3271484375,0,-0.0282208336663041,0.0310091509776769,147,9,1,18
"22",0,0.0489,0.3271484375,0,-0.0282208336663041,0.0310091509776769,148,9,1,18
"23",0,0.0489,0.3271484375,0,-0.0282208336663041,0.0310091509776769,149,9,1,18
"24",0,0.0489,0.3271484375,1,-0.0282208336663041,0.0310091509776769,150,9,1,18
"25",0,0.117,0.5234375,0,-0.0282208336663041,0.0310091509776769,151,8,1,17
"26",0,0.117,0.5234375,1,-0.0282208336663041,0.0310091509776769,152,8,1,17
"27",0,0.0107,0.4677734375,0,-0.0282208336663041,0.0310091509776769,153,29,1,76
"28",0,0.0107,0.4677734375,0,-0.0282208336663041,0.0310091509776769,154,29,1,76
"29",16,0.0107,0.4677734375,1,-0.0282208336663041,0.0310091509776769,155,29,1,76
"30",0,0.0107,0.4677734375,1,-0.0282208336663041,0.0310091509776769,156,29,1,76
"31",0,0.0364,0.576171875,1,-0.0282208336663041,0.0310091509776769,157,7,1,16
"32",3,0.0364,0.576171875,0,-0.0282208336663041,0.0310091509776769,158,7,1,16
"33",0,0.0364,0.576171875,1,-0.0282208336663041,0.0310091509776769,159,7,1,16
"34",0,0.1136,0.1591796875,0,-0.0282208336663041,0.0310091509776769,160,34,1,85
"35",0,0.0807,0.28515625,0,-0.0221566219225012,0.00952400783613465,214,6,3,13
"36",2,0.0807,0.28515625,1,-0.0221566219225012,0.00952400783613465,215,6,3,13
"37",8,0.0807,0.28515625,1,-0.0221566219225012,0.00952400783613465,216,6,3,13
"38",0,0.0908,0.326904296875,1,-0.0221566219225012,0.00952400783613465,217,120,3,272
"39",0,0.0908,0.326904296875,1,-0.0221566219225012,0.00952400783613465,218,120,3,272
"40",0,0.0908,0.326904296875,0,-0.0221566219225012,0.00952400783613465,219,120,3,272
"41",0,0.0908,0.326904296875,0,-0.0221566219225012,0.00952400783613465,220,120,3,272
"42",0,0.0856,0.28271484375,0,-0.0221566219225012,0.00952400783613465,221,19,3,49
"43",0,0.055,0.6865234375,0,-0.0221566219225012,0.00952400783613465,222,113,3,254
"44",0,0.055,0.6865234375,0,-0.0221566219225012,0.00952400783613465,223,113,3,254
"45",0,0.0464,0.4140625,0,-0.0221566219225012,0.00952400783613465,224,86,3,198
"46",0,0.0589,0.3564453125,0,-0.0221566219225012,0.00952400783613465,225,86,3,198
"47",0,0.0589,0.3564453125,1,-0.0221566219225012,0.00952400783613465,226,86,3,198
"48",0,0.0464,0.4140625,1,-0.0221566219225012,0.00952400783613465,227,86,3,198
