"","LBS","inbreeding","Qgg","sexU","stcohort","stcohort2","id","dam","cohort","group","litter","DamCohort"
"63",14,0,0,0,-0.0172829504038917,-0.00723750565354033,3027,28,9,27,378,286
"64",0,0,0,0,-0.0172829504038917,-0.00723750565354033,3038,28,9,27,378,286
"65",0,0.0625,0,0,-0.0138649946556768,-0.0122917333119508,3046,14,10,27,50,127
"66",0,0.015625,0.25,0,-0.0138649946556768,-0.0122917333119508,3057,14,10,27,50,127
"67",0,0.015625,0.25,0,-0.0138649946556768,-0.0122917333119508,3067,14,10,27,50,127
"68",0,0,0.5,0,-0.0138649946556768,-0.0122917333119508,3078,28,10,27,94,287
"69",0,0,0.25,0,-0.0138649946556768,-0.0122917333119508,3088,28,10,27,95,287
"70",8,0,0.25,0,-0.0138649946556768,-0.0122917333119508,3099,28,10,27,95,287
"71",0,0,0.25,0,-0.0138649946556768,-0.0122917333119508,3109,28,10,27,95,287
"72",6,0,0.25,0,-0.0138649946556768,-0.0122917333119508,3120,28,10,27,96,287
"73",0,0,0.375,0,-0.0104470389074619,-0.0161182106376045,3125,15,11,27,51,144
"74",3,0.0390625,0.125,0,-0.00702908315924706,-0.0187169376305016,3136,17,12,27,52,177
"75",3,0.078125,0.125,0,-0.00702908315924706,-0.0187169376305016,3147,17,12,27,53,177
"76",0,0.078125,0.125,0,-0.00702908315924706,-0.0187169376305016,3157,17,12,27,53,177
"77",0,0.05078125,0.0625,0,-0.00361112741103219,-0.0200879142906419,3164,19,13,27,60,209
"78",0,0.05078125,0.0625,0,-0.00361112741103219,-0.0200879142906419,3171,19,13,27,60,209
"79",0,0.0703125,0.125,0,-0.00361112741103219,-0.0200879142906419,3179,18,13,27,59,193
"80",0,0.05078125,0.0625,0,-0.00361112741103219,-0.0200879142906419,3184,19,13,27,60,209
"81",0,0.09375,0,0,-0.00361112741103219,-0.0200879142906419,3191,16,13,27,55,160
"82",0,0.0625,0,0,-0.00361112741103219,-0.0200879142906419,3202,16,13,27,56,160
"83",0,0.0625,0,0,-0.00361112741103219,-0.0200879142906419,3213,16,13,27,56,160
"84",0,0,0,1,-0.034372729144966,0.0364498876298628,3224,28,4,27,381,281
"85",0,0,0,1,-0.034372729144966,0.0364498876298628,3235,27,4,27,379,271
"86",0,0,0,1,-0.034372729144966,0.0364498876298628,3246,28,4,27,381,281
"87",0,0,0,1,-0.034372729144966,0.0364498876298628,3257,28,4,27,380,281
"88",37,0,0,1,-0.034372729144966,0.0364498876298628,3266,28,4,27,380,281
"89",0,0,0,1,-0.034372729144966,0.0364498876298628,3277,28,4,27,84,281
"90",0,0,0,1,-0.0309547733967511,0.0252569083076687,3288,28,5,27,85,282
"91",0,0,0,1,-0.0309547733967511,0.0252569083076687,3299,28,5,27,85,282
"92",0,0,0,1,-0.0309547733967511,0.0252569083076687,4,28,5,27,86,282
"93",1,0,0,1,-0.0309547733967511,0.0252569083076687,15,28,5,27,86,282
"94",4,0,0,1,-0.0309547733967511,0.0252569083076687,24,28,5,27,87,282
"95",0,0,0,1,-0.0275368176485363,0.0152916793182314,34,28,6,27,19,283
"96",13,0,0,1,-0.0275368176485363,0.0152916793182314,44,28,6,27,19,283
"97",16,0,0,1,-0.0275368176485363,0.0152916793182314,53,28,6,27,19,283
"98",3,0,0,1,-0.0275368176485363,0.0152916793182314,64,28,6,27,88,283
"99",0,0,0,1,-0.0275368176485363,0.0152916793182314,75,28,6,27,89,283
"100",13,0,0,1,-0.0275368176485363,0.0152916793182314,82,28,6,27,89,283
"101",0,0,0,1,-0.0241188619003214,0.00655420066155076,89,28,7,27,90,284
"102",0,0,0,1,-0.0241188619003214,0.00655420066155076,98,28,7,27,90,284
"103",0,0.25,0,1,-0.0241188619003214,0.00655420066155076,109,28,7,27,90,284
"104",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,116,6,7,27,36,402
"105",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,123,7,7,27,38,423
"106",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,130,7,7,27,38,423
"107",8,0,0.5,1,-0.0241188619003214,0.00655420066155076,137,9,7,27,44,17
"108",7,0,0.5,1,-0.0241188619003214,0.00655420066155076,148,9,7,27,44,17
"109",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,159,28,7,27,91,284
"110",0,0,0.5,1,-0.0241188619003214,0.00655420066155076,170,9,7,27,45,17
"111",0,0,0,1,-0.0241188619003214,0.00655420066155076,187,28,7,27,41,284
"112",7,0,0,1,-0.0241188619003214,0.00655420066155076,197,28,7,27,41,284
"113",24,0,0,1,-0.0241188619003214,0.00655420066155076,208,28,7,27,41,284
"114",14,0,0,1,-0.0241188619003214,0.00655420066155076,219,28,7,27,41,284
"115",4,0,0.5,1,-0.0207009061521065,-0.000955527662373147,230,10,8,27,47,47
"116",2,0,0,1,-0.0207009061521065,-0.000955527662373147,241,11,8,27,46,63
"117",0,0,0.75,1,-0.0207009061521065,-0.000955527662373147,252,13,8,27,49,111
"118",0,0,0,1,-0.0207009061521065,-0.000955527662373147,263,28,8,27,92,285
"119",0,0,0.5,1,-0.0207009061521065,-0.000955527662373147,274,28,8,27,93,285
"120",0,0,0.5,1,-0.0207009061521065,-0.000955527662373147,285,28,8,27,93,285
"121",21,0,0.5,1,-0.0207009061521065,-0.000955527662373147,297,28,8,27,93,285
"122",0,0,0,1,-0.0172829504038917,-0.00723750565354033,308,28,9,27,43,286
"123",0,0,0.75,1,-0.0172829504038917,-0.00723750565354033,318,12,9,27,48,82
"124",0,0,0.25,1,-0.0172829504038917,-0.00723750565354033,329,12,9,27,48,82
"125",0,0,0,1,-0.0172829504038917,-0.00723750565354033,350,28,9,27,378,286
"126",0,0,0,1,-0.0172829504038917,-0.00723750565354033,360,28,9,27,378,286
